Phylum,Depth,Site_Tundra,Value
Acidobacteriota,0-10,ITT,20.55578664
Actinobacteriota,0-10,ITT,4.335769604
Bacteroidota,0-10,ITT,8.346703112
Caldisericota,0-10,ITT,0
Chloroflexi,0-10,ITT,2.093608256
Desulfobacterota,0-10,ITT,0
Firmicutes,0-10,ITT,0.001980708
Gemmatimonadota,0-10,ITT,0.271356983
Myxococcota,0-10,ITT,6.468992018
Patescibacteria,0-10,ITT,0.223819993
Planctomycetota,0-10,ITT,6.603680155
Verrucomicrobiota,0-10,ITT,21.57585121
Alphaproteobacteria,0-10,ITT,12.2526591
Gammaproteobacteria,0-10,ITT,12.07439539
Bacteria_Other,0-10,ITT,5.195396835
Archaea,0-10,ITT,0
Acidobacteriota,10-20,ITT,38.46930893
Actinobacteriota,10-20,ITT,2.636322222
Bacteroidota,10-20,ITT,2.513518331
Caldisericota,10-20,ITT,0
Chloroflexi,10-20,ITT,5.888644602
Desulfobacterota,10-20,ITT,0.011884247
Firmicutes,10-20,ITT,0.051498406
Gemmatimonadota,10-20,ITT,3.0819815
Myxococcota,10-20,ITT,0.865569354
Patescibacteria,10-20,ITT,0.03763345
Planctomycetota,10-20,ITT,6.534355379
Verrucomicrobiota,10-20,ITT,13.92635728
Alphaproteobacteria,10-20,ITT,11.55544992
Gammaproteobacteria,10-20,ITT,10.8503179
Bacteria_Other,10-20,ITT,3.549428566
Archaea,10-20,ITT,0.027729911
Acidobacteriota,20-30,ITT,10.54330818
Actinobacteriota,20-30,ITT,7.063204389
Bacteroidota,20-30,ITT,12.45667201
Caldisericota,20-30,ITT,0.033672034
Chloroflexi,20-30,ITT,9.13304415
Desulfobacterota,20-30,ITT,5.641056113
Firmicutes,20-30,ITT,0.986392537
Gemmatimonadota,20-30,ITT,1.263691643
Myxococcota,20-30,ITT,0.352566007
Patescibacteria,20-30,ITT,0.988373245
Planctomycetota,20-30,ITT,1.097312179
Verrucomicrobiota,20-30,ITT,19.25050013
Alphaproteobacteria,20-30,ITT,1.669736764
Gammaproteobacteria,20-30,ITT,24.0041991
Bacteria_Other,20-30,ITT,5.288490106
Archaea,20-30,ITT,0.227781409
Acidobacteriota,30-40,ITT,7.944619407
Actinobacteriota,30-40,ITT,11.85651752
Bacteroidota,30-40,ITT,15.37623547
Caldisericota,30-40,ITT,0.204012914
Chloroflexi,30-40,ITT,13.8055341
Desulfobacterota,30-40,ITT,5.545982134
Firmicutes,30-40,ITT,1.865826847
Gemmatimonadota,30-40,ITT,1.426109692
Myxococcota,30-40,ITT,0.227781409
Patescibacteria,30-40,ITT,0.921029176
Planctomycetota,30-40,ITT,1.388476241
Verrucomicrobiota,30-40,ITT,9.380632638
Alphaproteobacteria,30-40,ITT,4.490264821
Gammaproteobacteria,30-40,ITT,18.41067998
Bacteria_Other,30-40,ITT,6.884940678
Archaea,30-40,ITT,0.271356983
Acidobacteriota,40-50,ITT,1.519202963
Actinobacteriota,40-50,ITT,9.533147147
Bacteroidota,40-50,ITT,23.50308
Caldisericota,40-50,ITT,7.750510032
Chloroflexi,40-50,ITT,7.296927922
Desulfobacterota,40-50,ITT,4.906213481
Firmicutes,40-50,ITT,10.71761047
Gemmatimonadota,40-50,ITT,0.184205835
Myxococcota,40-50,ITT,0.13270743
Patescibacteria,40-50,ITT,1.045813774
Planctomycetota,40-50,ITT,2.077762592
Verrucomicrobiota,40-50,ITT,6.492760513
Alphaproteobacteria,40-50,ITT,0.511022639
Gammaproteobacteria,40-50,ITT,15.51686573
Bacteria_Other,40-50,ITT,8.697288411
Archaea,40-50,ITT,0.114881058
Acidobacteriota,50-60,ITT,0.790302454
Actinobacteriota,50-60,ITT,10.85229861
Bacteroidota,50-60,ITT,24.02400618
Caldisericota,50-60,ITT,11.96149504
Chloroflexi,50-60,ITT,7.320696417
Desulfobacterota,50-60,ITT,4.716065522
Firmicutes,50-60,ITT,13.19547606
Gemmatimonadota,50-60,ITT,0.023768495
Myxococcota,50-60,ITT,0.104977519
Patescibacteria,50-60,ITT,0.449620694
Planctomycetota,50-60,ITT,2.184720819
Verrucomicrobiota,50-60,ITT,3.925763068
Alphaproteobacteria,50-60,ITT,0.36841167
Gammaproteobacteria,50-60,ITT,10.17687722
Bacteria_Other,50-60,ITT,9.715372274
Archaea,50-60,ITT,0.190147959
Acidobacteriota,60-70,ITT,6.251114148
Actinobacteriota,60-70,ITT,15.56836413
Bacteroidota,60-70,ITT,23.70511221
Caldisericota,60-70,ITT,5.977776457
Chloroflexi,60-70,ITT,5.268683027
Desulfobacterota,60-70,ITT,3.244399548
Firmicutes,60-70,ITT,12.47449839
Gemmatimonadota,60-70,ITT,0.104977519
Myxococcota,60-70,ITT,1.132964922
Patescibacteria,60-70,ITT,0.427832907
Planctomycetota,60-70,ITT,3.751460772
Verrucomicrobiota,60-70,ITT,5.835165488
Alphaproteobacteria,60-70,ITT,2.919563452
Gammaproteobacteria,60-70,ITT,10.08972607
Bacteria_Other,60-70,ITT,2.986907521
Archaea,60-70,ITT,0.261453443
