Phylum,Depth,Site_Tundra,Value
Acidobacteriota,0-10,IWS,32.02606612
Actinobacteriota,0-10,IWS,5.213223206
Bacteroidota,0-10,IWS,2.87400717
Caldisericota,0-10,IWS,0
Chloroflexi,0-10,IWS,8.774536019
Desulfobacterota,0-10,IWS,2.695743459
Firmicutes,0-10,IWS,0.065363361
Gemmatimonadota,0-10,IWS,0.221839285
Myxococcota,0-10,IWS,3.246380256
Patescibacteria,0-10,IWS,0.318893973
Planctomycetota,0-10,IWS,4.028759879
Verrucomicrobiota,0-10,IWS,12.36159804
Alphaproteobacteria,0-10,IWS,10.56707667
Gammaproteobacteria,0-10,IWS,13.01523164
Bacteria_Other,0-10,IWS,4.246637748
Archaea,0-10,IWS,0.344643175
Acidobacteriota,10-20,IWS,14.38588151
Actinobacteriota,10-20,IWS,3.995087844
Bacteroidota,10-20,IWS,12.46063343
Caldisericota,10-20,IWS,0.021787787
Chloroflexi,10-20,IWS,16.60229366
Desulfobacterota,10-20,IWS,16.60229366
Firmicutes,10-20,IWS,0.507061224
Gemmatimonadota,10-20,IWS,0.027729911
Myxococcota,10-20,IWS,2.493711252
Patescibacteria,10-20,IWS,0.934894131
Planctomycetota,10-20,IWS,1.675678888
Verrucomicrobiota,10-20,IWS,16.80234516
Alphaproteobacteria,10-20,IWS,2.29762117
Gammaproteobacteria,10-20,IWS,3.068116545
Bacteria_Other,10-20,IWS,6.657159269
Archaea,10-20,IWS,1.467704558
Acidobacteriota,20-30,IWS,11.8505754
Actinobacteriota,20-30,IWS,4.557608889
Bacteroidota,20-30,IWS,19.14948403
Caldisericota,20-30,IWS,0.148553093
Chloroflexi,20-30,IWS,16.92712976
Desulfobacterota,20-30,IWS,16.82611365
Firmicutes,20-30,IWS,0.689286351
Gemmatimonadota,20-30,IWS,0.178263711
Myxococcota,20-30,IWS,1.287460138
Patescibacteria,20-30,IWS,0.913106344
Planctomycetota,20-30,IWS,1.483550221
Verrucomicrobiota,20-30,IWS,16.80630657
Alphaproteobacteria,20-30,IWS,0.913106344
Gammaproteobacteria,20-30,IWS,1.25774952
Bacteria_Other,20-30,IWS,5.912413096
Archaea,20-30,IWS,1.099292887
Acidobacteriota,30-40,IWS,8.326896033
Actinobacteriota,30-40,IWS,3.834650504
Bacteroidota,30-40,IWS,23.98043061
Caldisericota,30-40,IWS,0.651652901
Chloroflexi,30-40,IWS,14.78796522
Desulfobacterota,30-40,IWS,15.29898786
Firmicutes,30-40,IWS,1.358765623
Gemmatimonadota,30-40,IWS,0.118842474
Myxococcota,30-40,IWS,0.915087052
Patescibacteria,30-40,IWS,1.158714124
Planctomycetota,30-40,IWS,2.024283479
Verrucomicrobiota,30-40,IWS,19.16136827
Alphaproteobacteria,30-40,IWS,0.320874681
Gammaproteobacteria,30-40,IWS,0.974508289
Bacteria_Other,30-40,IWS,6.068889021
Archaea,30-40,IWS,1.018083863
Acidobacteriota,40-50,IWS,8.095153208
Actinobacteriota,40-50,IWS,7.201853943
Bacteroidota,40-50,IWS,20.53994097
Caldisericota,40-50,IWS,1.628141898
Chloroflexi,40-50,IWS,9.376671222
Desulfobacterota,40-50,IWS,11.87434389
Firmicutes,40-50,IWS,0.921029176
Gemmatimonadota,40-50,IWS,0.126765306
Myxococcota,40-50,IWS,0.758611128
Patescibacteria,40-50,IWS,1.081466516
Planctomycetota,40-50,IWS,1.517222255
Verrucomicrobiota,40-50,IWS,29.26694
Alphaproteobacteria,40-50,IWS,1.08740864
Gammaproteobacteria,40-50,IWS,1.548913582
Bacteria_Other,40-50,IWS,4.367460931
Archaea,40-50,IWS,0.608077327
Acidobacteriota,50-60,IWS,6.855230059
Actinobacteriota,50-60,IWS,8.184285063
Bacteroidota,50-60,IWS,19.08808208
Caldisericota,50-60,IWS,1.768772159
Chloroflexi,50-60,IWS,12.70822192
Desulfobacterota,50-60,IWS,12.94788758
Firmicutes,50-60,IWS,1.053736605
Gemmatimonadota,50-60,IWS,0.265414859
Myxococcota,50-60,IWS,0.614019451
Patescibacteria,50-60,IWS,1.115138551
Planctomycetota,50-60,IWS,2.063897637
Verrucomicrobiota,50-60,IWS,25.36296472
Alphaproteobacteria,50-60,IWS,0.821993781
Gammaproteobacteria,50-60,IWS,1.047794482
Bacteria_Other,50-60,IWS,5.316220017
Archaea,50-60,IWS,0.786341038
Acidobacteriota,60-70,IWS,6.966149702
Actinobacteriota,60-70,IWS,7.33654208
Bacteroidota,60-70,IWS,23.06732426
Caldisericota,60-70,IWS,3.478123081
Chloroflexi,60-70,IWS,9.362806267
Desulfobacterota,60-70,IWS,10.78693525
Firmicutes,60-70,IWS,2.464000634
Gemmatimonadota,60-70,IWS,0.071305485
Myxococcota,60-70,IWS,0.604115911
Patescibacteria,60-70,IWS,2.432309307
Planctomycetota,60-70,IWS,2.386753026
Verrucomicrobiota,60-70,IWS,20.73999247
Alphaproteobacteria,60-70,IWS,0.483292729
Gammaproteobacteria,60-70,IWS,1.582585616
Bacteria_Other,60-70,IWS,7.439538891
Archaea,60-70,IWS,0.798225286
Acidobacteriota,70-80,IWS,6.447204231
Actinobacteriota,70-80,IWS,8.004040644
Bacteroidota,70-80,IWS,27.2624636
Caldisericota,70-80,IWS,2.711589122
Chloroflexi,70-80,IWS,8.604195139
Desulfobacterota,70-80,IWS,7.815873393
Firmicutes,70-80,IWS,3.230534593
Gemmatimonadota,70-80,IWS,0.142610969
Myxococcota,70-80,IWS,0.372373086
Patescibacteria,70-80,IWS,4.088181116
Planctomycetota,70-80,IWS,2.386753026
Verrucomicrobiota,70-80,IWS,16.12890447
