Sample,Site,Tundra,NMDS1,NMDS2
ITT.0.10,Imnavait,MAT,-1.46462116,-1.81166789
ITT.10.20,Imnavait,MAT,-1.35916362,-1.00146589
ITT.20.30,Imnavait,MAT,0.29190041,-0.17378249
ITT.30.40,Imnavait,MAT,0.28585261,-0.06888452
ITT.40.50,Imnavait,MAT,0.34196528,0.05268479
ITT.50.60,Imnavait,MAT,0.37173921,0.09913042
ITT.60.70,Imnavait,MAT,-0.17228096,-0.42086294
IWS.0.10,Imnavait,WS,-0.17160864,-1.43831772
IWS.10.20,Imnavait,WS,1.08679611,-1.07266713
IWS.20.30,Imnavait,WS,1.14858577,-0.79773883
IWS.30.40,Imnavait,WS,1.4358327,-0.56464465
IWS.40.50,Imnavait,WS,1.27907852,-0.36131563
IWS.50.60,Imnavait,WS,1.28696859,-0.30778712
IWS.60.70,Imnavait,WS,1.23202123,-0.23279456
IWS.70.80,Imnavait,WS,1.24347266,-0.10475942
IWS.80.90,Imnavait,WS,1.16308548,-0.17147597
IWS.90.100,Imnavait,WS,0.84013485,-0.62501871
STT.0.10,Sagwon,MAT,-2.00285815,1.14271237
STT.10.20,Sagwon,MAT,-1.88066842,0.96263907
STT.20.30,Sagwon,MAT,-1.79187904,1.07008105
STT.30.40,Sagwon,MAT,-1.30853951,0.78455022
STT.40.50,Sagwon,MAT,-1.09068742,0.80013554
STT.50.60,Sagwon,MAT,-0.6502834,0.8508442
STT.60.70,Sagwon,MAT,-0.71537658,0.809344
STT.70.80,Sagwon,MAT,-0.51070145,0.85642598
STT.80.90,Sagwon,MAT,-0.31709333,1.19958239
SWS.0.10,Sagwon,WS,-2.03100538,-1.07096631
SWS.10.20,Sagwon,WS,-2.035086,0.6168008
SWS.20.30,Sagwon,WS,-1.74512627,0.40034297
SWS.30.40,Sagwon,WS,-1.52148267,0.18016331
SWS.40.50,Sagwon,WS,0.32285842,1.18976965
SWS.50.60,Sagwon,WS,0.34360065,1.2871641
SWS.60.70,Sagwon,WS,0.35717452,1.0711719
TTT.0.10,Toolik,MAT,-1.30317143,-2.14608017
TTT.10.20,Toolik,MAT,-1.50554987,-1.39975303
TTT.20.30,Toolik,MAT,-1.03376681,-0.65955618
TTT.30.40,Toolik,MAT,-0.74153779,-0.53251979
TTT.40.50,Toolik,MAT,0.43180506,0.19809124
TTT.50.60,Toolik,MAT,0.24799591,0.11397563
TTT.60.70,Toolik,MAT,0.48702567,0.39526759
TTT.70.80,Toolik,MAT,0.05127471,-0.04002782
TTT.80.90,Toolik,MAT,0.13397389,0.17737343
TWS.0.10,Toolik,WS,-0.41231116,-1.19646733
TWS.10.20,Toolik,WS,1.44626673,-0.7921615
TWS.20.30,Toolik,WS,1.74660878,-0.09996981
TWS.30.40,Toolik,WS,1.59977456,0.11730819
TWS.40.50,Toolik,WS,1.48947042,0.34579973
TWS.50.60,Toolik,WS,1.23092808,0.36587831
TWS.60.70,Toolik,WS,1.53705782,0.8585778
TWS.70.80,Toolik,WS,1.19136274,0.47026237
TWS.80.90,Toolik,WS,1.14018768,0.67460837
