Phylum,Depth,Site_Tundra,Value
Acidobacteriota,0-10,ITT,29.35211044
Actinobacteriota,0-10,ITT,9.818369085
Bacteroidota,0-10,ITT,3.533582903
Caldisericota,0-10,ITT,0
Chloroflexi,0-10,ITT,3.634599006
Desulfobacterota,0-10,ITT,0.346623883
Firmicutes,0-10,ITT,0.00990354
Gemmatimonadota,0-10,ITT,1.259730228
Myxococcota,0-10,ITT,0.9269713
Patescibacteria,0-10,ITT,0.140630261
Planctomycetota,0-10,ITT,3.101788579
Verrucomicrobiota,0-10,ITT,19.65654525
Alphaproteobacteria,0-10,ITT,12.01101274
Gammaproteobacteria,0-10,ITT,10.91964268
Bacteria_Other,0-10,ITT,5.169647632
Archaea,0-10,ITT,0.118842474
Acidobacteriota,10-20,ITT,24.34686157
Actinobacteriota,10-20,ITT,10.96717967
Bacteroidota,10-20,ITT,3.29985937
Caldisericota,10-20,ITT,0
Chloroflexi,10-20,ITT,5.41723612
Desulfobacterota,10-20,ITT,0.63382653
Firmicutes,10-20,ITT,0.019807079
Gemmatimonadota,10-20,ITT,2.414482936
Myxococcota,10-20,ITT,1.958920118
Patescibacteria,10-20,ITT,0.087151148
Planctomycetota,10-20,ITT,2.755164696
Verrucomicrobiota,10-20,ITT,17.10935488
Alphaproteobacteria,10-20,ITT,8.350664528
Gammaproteobacteria,10-20,ITT,16.4359142
Bacteria_Other,10-20,ITT,6.163963
Archaea,10-20,ITT,0.039614158
Acidobacteriota,20-30,ITT,23.7526492
Actinobacteriota,20-30,ITT,16.04175332
Bacteroidota,20-30,ITT,3.171113356
Caldisericota,20-30,ITT,0
Chloroflexi,20-30,ITT,7.950561531
Desulfobacterota,20-30,ITT,0.619961574
Firmicutes,20-30,ITT,0.130726722
Gemmatimonadota,20-30,ITT,2.998791768
Myxococcota,20-30,ITT,1.752926496
Patescibacteria,20-30,ITT,0.21787787
Planctomycetota,20-30,ITT,2.121338166
Verrucomicrobiota,20-30,ITT,15.82387545
Alphaproteobacteria,20-30,ITT,6.358072375
Gammaproteobacteria,20-30,ITT,12.84687147
Bacteria_Other,20-30,ITT,5.969853626
Archaea,20-30,ITT,0.243627072
Acidobacteriota,30-40,ITT,19.31586349
Actinobacteriota,30-40,ITT,12.40715432
Bacteroidota,30-40,ITT,5.738110801
Caldisericota,30-40,ITT,0
Chloroflexi,30-40,ITT,6.817596609
Desulfobacterota,30-40,ITT,9.865906075
Firmicutes,30-40,ITT,0.128746014
Gemmatimonadota,30-40,ITT,3.226573177
Myxococcota,30-40,ITT,1.04977519
Patescibacteria,30-40,ITT,0.790302454
Planctomycetota,30-40,ITT,1.018083863
Verrucomicrobiota,30-40,ITT,11.92980371
Alphaproteobacteria,30-40,ITT,3.917840236
Gammaproteobacteria,30-40,ITT,16.8379979
Bacteria_Other,30-40,ITT,6.585853784
Archaea,30-40,ITT,0.370392378
Acidobacteriota,40-50,ITT,17.61839682
Actinobacteriota,40-50,ITT,16.97466675
Bacteroidota,40-50,ITT,7.241468101
Caldisericota,40-50,ITT,0
Chloroflexi,40-50,ITT,7.225622437
Desulfobacterota,40-50,ITT,3.188939727
Firmicutes,40-50,ITT,0.229762117
Gemmatimonadota,40-50,ITT,1.33301642
Myxococcota,40-50,ITT,0.701170598
Patescibacteria,40-50,ITT,1.424128984
Planctomycetota,40-50,ITT,1.269633767
Verrucomicrobiota,40-50,ITT,14.80579159
Alphaproteobacteria,40-50,ITT,7.354368451
Gammaproteobacteria,40-50,ITT,14.40568859
Bacteria_Other,40-50,ITT,5.845069028
Archaea,40-50,ITT,0.382276626
Acidobacteriota,50-60,ITT,9.507397944
Actinobacteriota,50-60,ITT,20.7716838
Bacteroidota,50-60,ITT,10.33533385
Caldisericota,50-60,ITT,0.00990354
Chloroflexi,50-60,ITT,7.605918355
Desulfobacterota,50-60,ITT,4.325866065
Firmicutes,50-60,ITT,1.095331471
Gemmatimonadota,50-60,ITT,1.917325252
Myxococcota,50-60,ITT,0.431794323
Patescibacteria,50-60,ITT,1.233981025
Planctomycetota,50-60,ITT,0.903202805
Verrucomicrobiota,50-60,ITT,6.783924575
Alphaproteobacteria,50-60,ITT,5.137956306
Gammaproteobacteria,50-60,ITT,21.05294432
Bacteria_Other,50-60,ITT,8.410085765
Archaea,50-60,ITT,0.477350605
Acidobacteriota,60-70,ITT,11.55743063
Actinobacteriota,60-70,ITT,21.36193476
Bacteroidota,60-70,ITT,8.806227346
Caldisericota,60-70,ITT,0.067344069
Chloroflexi,60-70,ITT,9.675758116
Desulfobacterota,60-70,ITT,2.941351239
Firmicutes,60-70,ITT,1.471665973
Gemmatimonadota,60-70,ITT,1.063640145
Myxococcota,60-70,ITT,0.818032365
Patescibacteria,60-70,ITT,0.871511478
Planctomycetota,60-70,ITT,0.994315368
Verrucomicrobiota,60-70,ITT,8.778497435
Alphaproteobacteria,60-70,ITT,7.088953592
Gammaproteobacteria,60-70,ITT,16.67557985
Bacteria_Other,60-70,ITT,7.443500307
Archaea,60-70,ITT,0.384257334
Acidobacteriota,70-80,TTT,5.542020718
Actinobacteriota,70-80,TTT,36.0053083
Bacteroidota,70-80,TTT,8.734921861
Caldisericota,70-80,TTT,1.012141739
Chloroflexi,70-80,TTT,12.0011092
Desulfobacterota,70-80,TTT,4.484322697
Firmicutes,70-80,TTT,2.885891418
Gemmatimonadota,70-80,TTT,0.4258522
Myxococcota,70-80,TTT,0.299086894
Patescibacteria,70-80,TTT,0.653633609
Planctomycetota,70-80,TTT,0.404064413
Verrucomicrobiota,70-80,TTT,3.484065205
Alphaproteobacteria,70-80,TTT,3.0067146
Gammaproteobacteria,70-80,TTT,13.33412562
Bacteria_Other,70-80,TTT,7.279101551
Archaea,70-80,TTT,0.447639987
Acidobacteriota,80-90,TTT,1.269633767
Actinobacteriota,80-90,TTT,26.9594153
Bacteroidota,80-90,TTT,5.108245687
Caldisericota,80-90,TTT,1.119099966
Chloroflexi,80-90,TTT,3.844554044
Desulfobacterota,80-90,TTT,3.91387882
Firmicutes,80-90,TTT,2.198585775
Gemmatimonadota,80-90,TTT,0.041594866
Myxococcota,80-90,TTT,0.039614158
Patescibacteria,80-90,TTT,0.108938935
Planctomycetota,80-90,TTT,0.178263711
Verrucomicrobiota,80-90,TTT,0.459524234
Alphaproteobacteria,80-90,TTT,1.307267217
Gammaproteobacteria,80-90,TTT,18.55923307
Bacteria_Other,80-90,TTT,34.70596391
Archaea,80-90,TTT,0.186186543
