Phylum,Depth,Site_Tundra,Value
Acidobacteriota,0-10,SWS,20.34979302
Actinobacteriota,0-10,SWS,8.564580981
Bacteroidota,0-10,SWS,7.487075881
Caldisericota,0-10,SWS,0
Chloroflexi,0-10,SWS,1.463743142
Desulfobacterota,0-10,SWS,0.025749203
Firmicutes,0-10,SWS,0.279279815
Gemmatimonadota,0-10,SWS,0.229762117
Myxococcota,0-10,SWS,4.53780181
Patescibacteria,0-10,SWS,0.528849011
Planctomycetota,0-10,SWS,6.354110959
Verrucomicrobiota,0-10,SWS,18.75532315
Alphaproteobacteria,0-10,SWS,13.45098738
Gammaproteobacteria,0-10,SWS,12.83102581
Bacteria_Other,0-10,SWS,5.040901618
Archaea,0-10,SWS,0.101016103
Acidobacteriota,10-20,SWS,18.11951591
Actinobacteriota,10-20,SWS,8.633905758
Bacteroidota,10-20,SWS,2.71356983
Caldisericota,10-20,SWS,0
Chloroflexi,10-20,SWS,4.813120209
Desulfobacterota,10-20,SWS,0.20797433
Firmicutes,10-20,SWS,0.039614158
Gemmatimonadota,10-20,SWS,0.950739794
Myxococcota,10-20,SWS,1.45582031
Patescibacteria,10-20,SWS,0.366430962
Planctomycetota,10-20,SWS,2.343177452
Verrucomicrobiota,10-20,SWS,33.79285757
Alphaproteobacteria,10-20,SWS,10.32741102
Gammaproteobacteria,10-20,SWS,9.291500782
Bacteria_Other,10-20,SWS,6.886921386
Archaea,10-20,SWS,0.057440529
Acidobacteriota,20-30,SWS,36.78768792
Actinobacteriota,20-30,SWS,5.791589914
Bacteroidota,20-30,SWS,3.224592469
Caldisericota,20-30,SWS,0
Chloroflexi,20-30,SWS,6.205557866
Desulfobacterota,20-30,SWS,0.28324123
Firmicutes,20-30,SWS,0.196090083
Gemmatimonadota,20-30,SWS,1.903460297
Myxococcota,20-30,SWS,2.767048943
Patescibacteria,20-30,SWS,0.307009725
Planctomycetota,20-30,SWS,1.764810743
Verrucomicrobiota,20-30,SWS,14.14423515
Alphaproteobacteria,20-30,SWS,11.61883257
Gammaproteobacteria,20-30,SWS,10.50369402
Bacteria_Other,20-30,SWS,4.379345178
Archaea,20-30,SWS,0.12280389
Acidobacteriota,30-40,SWS,22.72862321
Actinobacteriota,30-40,SWS,8.390278686
Bacteroidota,30-40,SWS,9.146909105
Caldisericota,30-40,SWS,0.025749203
Chloroflexi,30-40,SWS,2.273852675
Desulfobacterota,30-40,SWS,0.237684949
Firmicutes,30-40,SWS,0.215897162
Gemmatimonadota,30-40,SWS,0.9269713
Myxococcota,30-40,SWS,3.529621487
Patescibacteria,30-40,SWS,1.517222255
Planctomycetota,30-40,SWS,2.087666132
Verrucomicrobiota,30-40,SWS,10.78099313
Alphaproteobacteria,30-40,SWS,9.204349635
Gammaproteobacteria,30-40,SWS,23.62192248
Bacteria_Other,30-40,SWS,5.278586567
Archaea,30-40,SWS,0.033672034
Acidobacteriota,40-50,SWS,3.159229108
Actinobacteriota,40-50,SWS,25.75118347
Bacteroidota,40-50,SWS,18.72363183
Caldisericota,40-50,SWS,9.834214748
Chloroflexi,40-50,SWS,5.912413096
Desulfobacterota,40-50,SWS,5.500425852
Firmicutes,40-50,SWS,4.210985006
Gemmatimonadota,40-50,SWS,0.077247608
Myxococcota,40-50,SWS,0.24560778
Patescibacteria,40-50,SWS,0.437736447
Planctomycetota,40-50,SWS,1.354804207
Verrucomicrobiota,40-50,SWS,2.147087369
Alphaproteobacteria,40-50,SWS,8.483371957
Gammaproteobacteria,40-50,SWS,4.161467308
Bacteria_Other,40-50,SWS,9.01024026
Archaea,40-50,SWS,0.990353953
Acidobacteriota,50-60,SWS,4.290213322
Actinobacteriota,50-60,SWS,30.17806564
Bacteroidota,50-60,SWS,13.70847941
Caldisericota,50-60,SWS,4.943846931
Chloroflexi,50-60,SWS,9.46382237
Desulfobacterota,50-60,SWS,4.494226236
Firmicutes,50-60,SWS,5.613326203
Gemmatimonadota,50-60,SWS,0.017826371
Myxococcota,50-60,SWS,0.411987244
Patescibacteria,50-60,SWS,0.435755739
Planctomycetota,50-60,SWS,1.590508448
Verrucomicrobiota,50-60,SWS,2.228296393
Alphaproteobacteria,50-60,SWS,8.88743637
Gammaproteobacteria,50-60,SWS,1.891576049
Bacteria_Other,50-60,SWS,10.41258146
Archaea,50-60,SWS,1.432051815
Acidobacteriota,60-70,SWS,4.53780181
Actinobacteriota,60-70,SWS,34.44252976
Bacteroidota,60-70,SWS,14.74835106
Caldisericota,60-70,SWS,4.391229425
Chloroflexi,60-70,SWS,9.41628538
Desulfobacterota,60-70,SWS,4.502149068
Firmicutes,60-70,SWS,4.914136312
Gemmatimonadota,60-70,SWS,0.055459821
Myxococcota,60-70,SWS,0.388218749
Patescibacteria,60-70,SWS,0.461504942
Planctomycetota,60-70,SWS,1.261710935
Verrucomicrobiota,60-70,SWS,1.907421713
Alphaproteobacteria,60-70,SWS,8.665597084
Gammaproteobacteria,60-70,SWS,1.970804365
Bacteria_Other,60-70,SWS,7.142432705
Archaea,60-70,SWS,1.194366867
