Phylum,Depth_0-10,Depth_10-20,Depth_20-30,Depth_30-40,Depth_40-50,Depth_50-60,Depth_60-70,Depth_70-80,Depth_80-90,Depth_90-100
Acidobacteriota,32.02606612,14.38588151,11.8505754,8.326896033,8.095153208,6.855230059,6.966149702,6.447204231,2.731396201,6.88295997
Actinobacteriota,5.213223206,3.995087844,4.557608889,3.834650504,7.201853943,8.184285063,7.33654208,8.004040644,16.20219066,13.63915463
Bacteroidota,2.87400717,12.46063343,19.14948403,23.98043061,20.53994097,19.08808208,23.06732426,27.2624636,47.52114406,22.17798641
Caldisericota,0,0.021787787,0.148553093,0.651652901,1.628141898,1.768772159,3.478123081,2.711589122,3.71580803,2.584823816
Chloroflexi,8.774536019,16.60229366,16.92712976,14.78796522,9.376671222,12.70822192,9.362806267,8.604195139,2.54322895,10.90775843
Desulfobacterota,2.695743459,16.60229366,16.82611365,15.29898786,11.87434389,12.94788758,10.78693525,7.815873393,1.778675699,6.926535544
Firmicutes,0.065363361,0.507061224,0.689286351,1.358765623,0.921029176,1.053736605,2.464000634,3.230534593,17.47974726,11.62873611
Gemmatimonadota,0.221839285,0.027729911,0.178263711,0.118842474,0.126765306,0.265414859,0.071305485,0.142610969,0.003961416,0.205993622
Myxococcota,3.246380256,2.493711252,1.287460138,0.915087052,0.758611128,0.614019451,0.604115911,0.372373086,0.136668845,0.950739794
Patescibacteria,0.318893973,0.934894131,0.913106344,1.158714124,1.081466516,1.115138551,2.432309307,4.088181116,0.370392378,0.715035554
Planctomycetota,4.028759879,1.675678888,1.483550221,2.024283479,1.517222255,2.063897637,2.386753026,2.386753026,0.473389189,1.576643492
Verrucomicrobiota,12.36159804,16.80234516,16.80630657,19.16136827,29.26694,25.36296472,20.73999247,16.12890447,3.426624676,12.49232476
Alphaproteobacteria,10.56707667,2.29762117,0.913106344,0.320874681,1.08740864,0.821993781,0.483292729,0.265414859,0.299086894,2.008437816
Gammaproteobacteria,13.01523164,3.068116545,1.25774952,0.974508289,1.548913582,1.047794482,1.582585616,2.034187018,0.366430962,2.113415335
Archaea,0.344643175,1.467704558,1.099292887,1.018083863,0.608077327,0.786341038,0.798225286,0.827935904,0.261453443,0.667498564
