Phylum,Depth_0-10,Depth_10-20,Depth_20-30,Depth_30-40,Depth_40-50,Depth_50-60,Depth_60-70,Depth_70-80,Depth_80-90
Acidobacteriota,15.22570167,7.061223681,6.257056272,5.108245687,3.697981659,1.998534276,2.17481728,1.624180482,1.174559788
Actinobacteriota,5.593519124,6.42937786,10.05011191,9.505417236,8.075346129,21.50652643,23.13466833,36.5064274,40.61045418
Bacteroidota,5.54994355,18.35720086,18.62063501,23.38819894,22.81577436,35.71810565,39.75874978,29.22336443,25.49171074
Caldisericota,0,0.267395567,0.465466358,1.024025987,1.976746489,2.769029651,1.598431279,5.738110801,6.609622279
Chloroflexi,10.15112801,17.17075683,16.55871809,13.73819003,13.34600986,9.073622913,9.782716343,10.46407986,11.09394498
Desulfobacterota,4.589300216,15.60005546,14.08679462,13.55992632,12.01299344,6.621506526,5.229068869,6.502664052,5.694535227
Firmicutes,0.198070791,0.911125636,2.491730544,5.658882485,6.738368293,4.704181274,4.787371006,4.428862876,5.229068869
Gemmatimonadota,0.285221938,0.089131856,0.03763345,0.204012914,0.227781409,0,0,0.001980708,0.001980708
Myxococcota,3.480103789,1.937132331,1.129003506,0.392180165,0.590250956,0.439717155,0.263434151,0.310971141,0.358508131
Patescibacteria,0.717016262,1.41818686,1.386495534,1.903460297,3.220631054,1.459781726,2.071820469,0.200051498,0.156475924
Planctomycetota,3.234496009,2.361003823,2.200566482,1.788579238,2.252064888,0.996296076,0.645710777,0.332758928,0.198070791
Verrucomicrobiota,13.34600986,10.67799632,10.9236041,12.06647256,15.25343158,7.770317111,3.311743617,1.554855705,1.053736605
Alphaproteobacteria,6.474934141,1.287460138,0.584308832,0.049517698,0.031691326,0.059421237,0.33077822,0.326816804,0.241646364
Gammaproteobacteria,16.46562481,2.54322895,0.625903698,0.358508131,1.138907045,2.422405768,1.743022956,0.413967952,0.312951849
Archaea,1.004218908,2.897775665,2.230277101,0.956681918,1.33301642,0.621942282,0.582328124,0.518945471,0.439717155
