Phylum,Depth,Site_Tundra,Value
Acidobacteriota,0-10,TTT,18.47208192
Actinobacteriota,0-10,TTT,3.737595817
Bacteroidota,0-10,TTT,8.479410541
Caldisericota,0-10,TTT,0
Chloroflexi,0-10,TTT,0.200051498
Desulfobacterota,0-10,TTT,0.007922832
Firmicutes,0-10,TTT,0.336720344
Gemmatimonadota,0-10,TTT,0.033672034
Myxococcota,0-10,TTT,1.606354111
Patescibacteria,0-10,TTT,0.150533801
Planctomycetota,0-10,TTT,4.411036504
Verrucomicrobiota,0-10,TTT,19.22475093
Alphaproteobacteria,0-10,TTT,14.52453107
Gammaproteobacteria,0-10,TTT,23.73680353
Bacteria_Other,0-10,TTT,5.074573653
Archaea,0-10,TTT,0.003961416
Acidobacteriota,10-20,TTT,17.86202389
Actinobacteriota,10-20,TTT,6.055024066
Bacteroidota,10-20,TTT,11.0008517
Caldisericota,10-20,TTT,0
Chloroflexi,10-20,TTT,4.973557549
Desulfobacterota,10-20,TTT,0.073286192
Firmicutes,10-20,TTT,0.007922832
Gemmatimonadota,10-20,TTT,0.184205835
Myxococcota,10-20,TTT,7.776259235
Patescibacteria,10-20,TTT,0.134688138
Planctomycetota,10-20,TTT,5.458830986
Verrucomicrobiota,10-20,TTT,15.52478856
Alphaproteobacteria,10-20,TTT,12.73991324
Gammaproteobacteria,10-20,TTT,11.91990017
Bacteria_Other,10-20,TTT,6.25903698
Archaea,10-20,TTT,0.029710619
Acidobacteriota,20-30,TTT,20.63105354
Actinobacteriota,20-30,TTT,7.425673936
Bacteroidota,20-30,TTT,3.028502387
Caldisericota,20-30,TTT,0
Chloroflexi,20-30,TTT,18.70580545
Desulfobacterota,20-30,TTT,0.513003347
Firmicutes,20-30,TTT,0.101016103
Gemmatimonadota,20-30,TTT,2.475884881
Myxococcota,20-30,TTT,1.354804207
Patescibacteria,20-30,TTT,0.299086894
Planctomycetota,20-30,TTT,3.438508923
Verrucomicrobiota,20-30,TTT,17.22423594
Alphaproteobacteria,20-30,TTT,8.833957256
Gammaproteobacteria,20-30,TTT,12.93402262
Bacteria_Other,20-30,TTT,3.012656724
Archaea,20-30,TTT,0.021787787
Acidobacteriota,30-40,TTT,17.27177293
Actinobacteriota,30-40,TTT,7.823796225
Bacteroidota,30-40,TTT,4.519975439
Caldisericota,30-40,TTT,0
Chloroflexi,30-40,TTT,17.62037752
Desulfobacterota,30-40,TTT,1.356784915
Firmicutes,30-40,TTT,0.150533801
Gemmatimonadota,30-40,TTT,4.143640937
Myxococcota,30-40,TTT,1.164656248
Patescibacteria,30-40,TTT,0.423871492
Planctomycetota,30-40,TTT,3.377106978
Verrucomicrobiota,30-40,TTT,15.73672431
Alphaproteobacteria,30-40,TTT,6.488799097
Gammaproteobacteria,30-40,TTT,17.34109771
Bacteria_Other,30-40,TTT,2.531344703
Archaea,30-40,TTT,0.049517698
Acidobacteriota,40-50,TTT,5.231049577
Actinobacteriota,40-50,TTT,14.99792026
Bacteroidota,40-50,TTT,26.9851645
Caldisericota,40-50,TTT,0.126765306
Chloroflexi,40-50,TTT,11.175154
Desulfobacterota,40-50,TTT,4.799255254
Firmicutes,40-50,TTT,4.96365401
Gemmatimonadota,40-50,TTT,1.481569513
Myxococcota,40-50,TTT,0.069324777
Patescibacteria,40-50,TTT,0.855665815
Planctomycetota,40-50,TTT,2.317428249
Verrucomicrobiota,40-50,TTT,5.944104423
Alphaproteobacteria,40-50,TTT,2.529363995
Gammaproteobacteria,40-50,TTT,11.56931487
Bacteria_Other,40-50,TTT,6.724503337
Archaea,40-50,TTT,0.229762117
Acidobacteriota,50-60,TTT,1.879691802
Actinobacteriota,50-60,TTT,25.88785232
Bacteroidota,50-60,TTT,20.06259037
Caldisericota,50-60,TTT,1.721235169
Chloroflexi,50-60,TTT,12.83498722
Desulfobacterota,50-60,TTT,5.169647632
Firmicutes,50-60,TTT,8.932992652
Gemmatimonadota,50-60,TTT,0.265414859
Myxococcota,50-60,TTT,0.168360172
Patescibacteria,50-60,TTT,0.285221938
Planctomycetota,50-60,TTT,1.253788104
Verrucomicrobiota,50-60,TTT,2.216412146
Alphaproteobacteria,50-60,TTT,1.033929526
Gammaproteobacteria,50-60,TTT,13.2786658
Bacteria_Other,50-60,TTT,4.634856498
Archaea,50-60,TTT,0.374353794
Acidobacteriota,60-70,TTT,1.041852358
Actinobacteriota,60-70,TTT,28.81335789
Bacteroidota,60-70,TTT,18.9415097
Caldisericota,60-70,TTT,2.677917088
Chloroflexi,60-70,TTT,13.72036366
Desulfobacterota,60-70,TTT,4.163448016
Firmicutes,60-70,TTT,17.31534851
Gemmatimonadota,60-70,TTT,0.045556282
Myxococcota,60-70,TTT,0.011884247
Patescibacteria,60-70,TTT,0.334739636
Planctomycetota,60-70,TTT,0.942816963
Verrucomicrobiota,60-70,TTT,0.845762275
Alphaproteobacteria,60-70,TTT,0.485273437
Gammaproteobacteria,60-70,TTT,8.114960287
Bacteria_Other,60-70,TTT,2.093608256
Archaea,60-70,TTT,0.451601402
Acidobacteriota,70-80,TTT,3.319666449
Actinobacteriota,70-80,TTT,29.19761523
Bacteroidota,70-80,TTT,12.65474281
Caldisericota,70-80,TTT,4.010933508
Chloroflexi,70-80,TTT,10.31948819
Desulfobacterota,70-80,TTT,5.042882326
Firmicutes,70-80,TTT,15.54261493
Gemmatimonadota,70-80,TTT,0.392180165
Myxococcota,70-80,TTT,0.118842474
Patescibacteria,70-80,TTT,0.346623883
Planctomycetota,70-80,TTT,1.146829877
Verrucomicrobiota,70-80,TTT,3.654406085
Alphaproteobacteria,70-80,TTT,2.156990909
Gammaproteobacteria,70-80,TTT,9.321211401
Bacteria_Other,70-80,TTT,2.147087369
Archaea,70-80,TTT,0.627884406
Acidobacteriota,80-90,TTT,2.99681106
Actinobacteriota,80-90,TTT,37.47895498
Bacteroidota,80-90,TTT,11.24249807
Caldisericota,80-90,TTT,16.41808782
Chloroflexi,80-90,TTT,5.452888862
Desulfobacterota,80-90,TTT,3.775229267
Firmicutes,80-90,TTT,14.51660824
Gemmatimonadota,80-90,TTT,0.067344069
Myxococcota,80-90,TTT,0.077247608
Patescibacteria,80-90,TTT,0.227781409
Planctomycetota,80-90,TTT,0.576386
Verrucomicrobiota,80-90,TTT,1.594469864
Alphaproteobacteria,80-90,TTT,0.713054846
Gammaproteobacteria,80-90,TTT,3.143383445
Bacteria_Other,80-90,TTT,1.303305801
Archaea,80-90,TTT,0.41594866
