Phylum,Depth,Site_Tundra,Value
Acidobacteriota,0-10,TWS,15.22570167
Actinobacteriota,0-10,TWS,5.593519124
Bacteroidota,0-10,TWS,5.54994355
Caldisericota,0-10,TWS,0
Chloroflexi,0-10,TWS,10.15112801
Desulfobacterota,0-10,TWS,4.589300216
Firmicutes,0-10,TWS,0.198070791
Gemmatimonadota,0-10,TWS,0.285221938
Myxococcota,0-10,TWS,3.480103789
Patescibacteria,0-10,TWS,0.717016262
Planctomycetota,0-10,TWS,3.234496009
Verrucomicrobiota,0-10,TWS,13.34600986
Alphaproteobacteria,0-10,TWS,6.474934141
Gammaproteobacteria,0-10,TWS,16.46562481
Bacteria_Other,0-10,TWS,13.68471092
Archaea,0-10,TWS,1.004218908
Acidobacteriota,10-20,TWS,7.061223681
Actinobacteriota,10-20,TWS,6.42937786
Bacteroidota,10-20,TWS,18.35720086
Caldisericota,10-20,TWS,0.267395567
Chloroflexi,10-20,TWS,17.17075683
Desulfobacterota,10-20,TWS,15.60005546
Firmicutes,10-20,TWS,0.911125636
Gemmatimonadota,10-20,TWS,0.089131856
Myxococcota,10-20,TWS,1.937132331
Patescibacteria,10-20,TWS,1.41818686
Planctomycetota,10-20,TWS,2.361003823
Verrucomicrobiota,10-20,TWS,10.67799632
Alphaproteobacteria,10-20,TWS,1.287460138
Gammaproteobacteria,10-20,TWS,2.54322895
Bacteria_Other,10-20,TWS,10.99094816
Archaea,10-20,TWS,2.897775665
Acidobacteriota,20-30,TWS,6.257056272
Actinobacteriota,20-30,TWS,10.05011191
Bacteroidota,20-30,TWS,18.62063501
Caldisericota,20-30,TWS,0.465466358
Chloroflexi,20-30,TWS,16.55871809
Desulfobacterota,20-30,TWS,14.08679462
Firmicutes,20-30,TWS,2.491730544
Gemmatimonadota,20-30,TWS,0.03763345
Myxococcota,20-30,TWS,1.129003506
Patescibacteria,20-30,TWS,1.386495534
Planctomycetota,20-30,TWS,2.200566482
Verrucomicrobiota,20-30,TWS,10.9236041
Alphaproteobacteria,20-30,TWS,0.584308832
Gammaproteobacteria,20-30,TWS,0.625903698
Bacteria_Other,20-30,TWS,12.3516945
Archaea,20-30,TWS,2.230277101
Acidobacteriota,30-40,TWS,5.108245687
Actinobacteriota,30-40,TWS,9.505417236
Bacteroidota,30-40,TWS,23.38819894
Caldisericota,30-40,TWS,1.024025987
Chloroflexi,30-40,TWS,13.73819003
Desulfobacterota,30-40,TWS,13.55992632
Firmicutes,30-40,TWS,5.658882485
Gemmatimonadota,30-40,TWS,0.204012914
Myxococcota,30-40,TWS,0.392180165
Patescibacteria,30-40,TWS,1.903460297
Planctomycetota,30-40,TWS,1.788579238
Verrucomicrobiota,30-40,TWS,12.06647256
Alphaproteobacteria,30-40,TWS,0.049517698
Gammaproteobacteria,30-40,TWS,0.358508131
Bacteria_Other,30-40,TWS,10.2977004
Archaea,30-40,TWS,0.956681918
Acidobacteriota,40-50,TWS,3.697981659
Actinobacteriota,40-50,TWS,8.075346129
Bacteroidota,40-50,TWS,22.81577436
Caldisericota,40-50,TWS,1.976746489
Chloroflexi,40-50,TWS,13.34600986
Desulfobacterota,40-50,TWS,12.01299344
Firmicutes,40-50,TWS,6.738368293
Gemmatimonadota,40-50,TWS,0.227781409
Myxococcota,40-50,TWS,0.590250956
Patescibacteria,40-50,TWS,3.220631054
Planctomycetota,40-50,TWS,2.252064888
Verrucomicrobiota,40-50,TWS,15.25343158
Alphaproteobacteria,40-50,TWS,0.031691326
Gammaproteobacteria,40-50,TWS,1.138907045
Bacteria_Other,40-50,TWS,7.28900509
Archaea,40-50,TWS,1.33301642
Acidobacteriota,50-60,TWS,1.998534276
Actinobacteriota,50-60,TWS,21.50652643
Bacteroidota,50-60,TWS,35.71810565
Caldisericota,50-60,TWS,2.769029651
Chloroflexi,50-60,TWS,9.073622913
Desulfobacterota,50-60,TWS,6.621506526
Firmicutes,50-60,TWS,4.704181274
Gemmatimonadota,50-60,TWS,0
Myxococcota,50-60,TWS,0.439717155
Patescibacteria,50-60,TWS,1.459781726
Planctomycetota,50-60,TWS,0.996296076
Verrucomicrobiota,50-60,TWS,7.770317111
Alphaproteobacteria,50-60,TWS,0.059421237
Gammaproteobacteria,50-60,TWS,2.422405768
Bacteria_Other,50-60,TWS,3.83861192
Archaea,50-60,TWS,0.621942282
Acidobacteriota,60-70,TWS,2.17481728
Actinobacteriota,60-70,TWS,23.13466833
Bacteroidota,60-70,TWS,39.75874978
Caldisericota,60-70,TWS,1.598431279
Chloroflexi,60-70,TWS,9.782716343
Desulfobacterota,60-70,TWS,5.229068869
Firmicutes,60-70,TWS,4.787371006
