,ITT_0_10,ITT_10_20,ITT_20_30,ITT_30_40,ITT_40_50,ITT_50_60,ITT_60_70,IWS_0_10,IWS_10_20,IWS_20_30,IWS_30_40,IWS_40_50,IWS_50_60,IWS_60_70,IWS_70_80,IWS_80_90,IWS_90_100,STT_0_10,STT_10_20,STT_20_30,STT_30_40,STT_40_50,STT_50_60,STT_60_70,STT_70_80,STT_80_90,SWS_0_10,SWS_10_20,SWS_20_30,SWS_30_40,SWS_40_50,SWS_50_60,SWS_60_70,TTT_0_10,TTT_10_20,TTT_20_30,TTT_30_40,TTT_40_50,TTT_50_60,TTT_60_70,TTT_70_80,TTT_80_90,TWS_0_10,TWS_10_20,TWS_20_30,TWS_30_40,TWS_40_50,TWS_50_60,TWS_60_70,TWS_70_80,TWS_80_90
75ea2daf1a41ca52cecdd1e27b663173,0,0,1133,1757,2167,3106,4074,206,1426,3367,4459,4610,3747,3360,4031,956,2019,0,0,0,0,294,195,470,434,629,0,0,9,97,6703,4994,4533,0,3,0,56,3773,2241,2137,1997,1914,384,1923,1486,2824,2460,4515,5670,12990,11633
b4c1e218247b4ad7d670d7b305c43076,3,87,1709,2590,701,420,840,243,138,152,107,998,739,242,186,3210,590,39,113,124,164,1320,1050,1743,3028,2815,0,143,136,1121,1385,198,234,9,0,1057,1176,2675,2264,1030,1470,960,78,40,36,56,37,83,208,77,46
f34cdcd73e535507d29c29b19d01f658,0,19,969,745,5382,3344,2422,21,57,45,53,236,150,332,474,63,87,9,26,27,141,91,1384,493,847,4098,0,26,10,142,780,51,174,0,0,16,103,899,3310,2147,1490,433,36,34,40,50,118,369,122,32,16
f69f5292d08dd7ac727db58db850e379,0,0,275,559,649,1014,1344,0,0,0,0,117,190,202,336,993,1032,0,0,25,0,254,620,659,1745,1332,0,0,0,113,965,988,1807,0,0,0,25,1538,2966,2071,2703,3045,0,55,88,120,339,525,402,1425,1613
2d51eee954d47bb2f71665bd2691bb94,13,3173,31,44,19,20,188,128,13,14,0,0,0,0,0,0,0,4737,3069,2691,1569,2583,364,646,370,83,145,6096,2597,690,56,145,128,10,261,2244,1031,22,22,6,123,47,855,0,0,0,0,0,0,15,0
eaa27c84cd7a9799ad63ba69f6cda15a,0,0,435,490,939,1061,664,0,58,208,332,1075,1083,1194,1650,214,378,0,0,0,0,28,66,129,287,190,0,0,0,12,848,651,550,0,0,0,0,932,1056,963,1460,1184,0,51,221,264,889,671,682,2134,1838
c9e7f28ae51f4a4e93c58fe156c6363f,0,0,261,692,162,150,297,0,289,460,404,918,1443,771,628,355,960,0,0,0,0,0,0,6,82,46,0,0,21,54,669,1338,1540,0,0,139,127,972,695,435,471,322,0,212,682,647,714,1022,1714,2422,2884
5d39c1639f2c00b4a4ecb3bf512bf420,0,0,388,434,1286,1728,1444,0,17,0,0,0,0,215,608,49,37,0,0,0,0,87,891,671,1074,607,0,0,0,23,435,61,118,0,0,0,12,3403,1855,678,522,165,82,245,257,307,464,631,1159,387,218
2a1551c1613e0475d74430f6fc96df72,0,0,0,0,0,0,0,0,6,7,6,0,0,0,0,0,30,0,0,0,0,0,26,98,1346,1735,3,0,7,70,4316,5420,5668,0,0,0,0,0,0,0,0,0,1,339,725,787,204,348,645,126,116
7e57cd9f614b5d768e6ecb077703d276,0,0,1730,1196,1788,815,162,13,0,106,322,1617,1185,2002,2455,298,609,0,0,0,7,9,21,18,0,0,0,0,0,208,0,0,0,0,0,93,256,766,201,49,258,124,0,0,41,76,363,714,221,59,71
471c0dc1b7460f183aa185fe8fc3263c,0,0,413,644,2127,2932,237,0,25,49,128,345,441,767,1376,129,159,0,0,0,0,18,344,241,323,49,0,0,0,0,2,7,8,0,0,0,3,1095,1302,231,111,98,0,130,254,323,477,74,162,36,23
55c50ecec9b058ac30a6cb6261d97720,0,0,3,0,158,222,792,0,0,0,0,0,0,42,211,109,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1278,2851,1822,2169,0,0,0,0,9,319,272,1449,2377
028ad074167c45e783654ceff9d29b1f,0,0,2244,595,12,28,91,73,311,556,337,2792,2693,1158,482,238,848,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,0,0,0,9,13,336,43,32,270,97,0,59,136,151,1031,119,25,23,28
e0fb63b785073b3a922c5a1cb12a5942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9,196,15194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
629d138fbe969ad81e93c623502cada4,0,0,0,0,0,0,0,0,95,158,126,153,128,348,339,86,155,0,0,0,0,0,0,0,0,0,0,0,0,9,264,269,242,0,0,0,0,0,0,0,0,0,0,268,427,215,91,2916,1972,3744,3522
6d48c7ec35c529bbc2f8e6a73cca2917,0,0,68,124,220,446,229,0,0,9,24,32,44,86,307,1579,1176,0,0,0,0,0,5,0,40,9,0,0,0,0,56,102,83,0,0,0,0,199,409,726,607,1212,0,0,15,4,0,446,885,2184,2674
b3ce64dab538f5b0c311e54e93ebfbd6,0,0,15,17,635,879,78,0,0,0,0,0,0,0,14,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,1044,832,821,0,0,0,0,23,334,120,42,0,0,115,340,790,754,1499,2081,1988,2342
3d33675d4f884ef53c0dd9ba3505fc64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,231,150,90,100,0,50,0,0,0,198,13867,64,33,75,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0b680b7505a64c1c123412afa321ce46,0,0,59,55,180,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,1768,3820,3721,2544,0,0,0,0,0,53,82,102,49
