,site_tundra,Site,Tundra,Layer,Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher,Coverage
ITT.0.10,ITT,Imnavait,MAT,active,1629,1688.698113,14.84200058,1671.432277,20.19403346,6.309139579,0.995643682,229.5516508,321.8202337,0.9977618
ITT.10.20,ITT,Imnavait,MAT,active,1112,1147.682927,10.86451518,1140.599865,16.65361541,5.14177357,0.963188144,27.16516085,201.0974769,0.998474855
ITT.20.30,ITT,Imnavait,MAT,active,912,948.6785714,11.02253023,949.5687806,15.22702477,5.054422806,0.981991414,55.52906966,158.07122,0.998435241
ITT.30.40,ITT,Imnavait,MAT,active,748,783,13.00024811,767.734913,13.41429131,5.177274489,0.986389954,73.47513978,124.510033,0.999009646
ITT.40.50,ITT,Imnavait,MAT,permafrost,729,767.2307692,11.99553698,762.5080599,13.56656284,4.713290988,0.975033348,40.05342824,120.7291436,0.998593697
ITT.50.60,ITT,Imnavait,MAT,permafrost,590,619.9565217,10.86623433,612.8495781,12.12223149,4.476443925,0.971773131,35.42723806,93.79676221,0.998950225
ITT.60.70,ITT,Imnavait,MAT,permafrost,1187,1222,11.11366953,1210.627939,17.16779096,5.405715991,0.984109895,62.93224659,217.7880423,0.998613504
IWS.0.10,IWS,Imnavait,WS,active,1841,1912.661538,16.18340061,1893.411795,21.41793069,6.361304593,0.995172282,207.1372166,374.941415,0.99728643
IWS.10.20,IWS,Imnavait,WS,active,1221,1241.275862,7.842457733,1235.786722,17.18710745,5.941476862,0.993398253,151.4750503,225.4503407,0.999029453
IWS.20.30,IWS,Imnavait,WS,active,1462,1509.014599,11.88593063,1507.766431,19.04064327,5.815806353,0.989747624,97.53836297,281.4133421,0.997741993
IWS.30.40,IWS,Imnavait,WS,active,1047,1066.029851,7.302562961,1064.576212,16.07464491,5.533411092,0.986655254,74.93585885,186.8729618,0.998989839
IWS.40.50,IWS,Imnavait,WS,active,897,928.28,10.08510479,927.6305425,15.04025706,5.160291089,0.981492548,54.03228847,154.9348547,0.998633312
IWS.50.60,IWS,Imnavait,WS,permafrost,903,940.8181818,12.35885733,930.5930648,14.89681851,5.250032924,0.984579976,64.850741,156.1878329,0.99871254
IWS.60.70,IWS,Imnavait,WS,permafrost,969,993.5584416,8.475857285,993.3955763,15.47590974,5.42004657,0.987684515,81.19858982,170.10727,0.998771961
IWS.70.80,IWS,Imnavait,WS,permafrost,953,973.4428571,7.607260307,972.7759121,15.34196875,5.36399071,0.985218831,67.65364781,166.7100626,0.998930418
IWS.80.90,IWS,Imnavait,WS,permafrost,637,650.5616438,5.724345304,656.941041,12.64728715,4.507287689,0.969376779,32.65495866,102.7560872,0.999108681
IWS.90.100,IWS,Imnavait,WS,permafrost,1373,1407.780488,9.855529222,1409.08242,18.48918123,5.829288678,0.992305476,129.9625633,260.4158568,0.998157942
STT.0.10,STT,Sagwon,MAT,active,1429,1468.613636,11.52698707,1460.481178,18.71151984,5.969548323,0.98724603,78.40695681,273.5834956,0.998336205
STT.10.20,STT,Sagwon,MAT,active,1557,1608,13.39810683,1596.881562,19.6710638,6.296526333,0.993768771,160.4819873,304.2405604,0.997979678
STT.20.30,STT,Sagwon,MAT,active,1619,1667.12766,12.0129586,1667.976106,20.15908782,6.308539759,0.994421954,179.2742449,319.3644037,0.997682572
STT.30.40,STT,Sagwon,MAT,active,1420,1457.176471,11.10074326,1449.576488,18.64772572,6.199414895,0.994660985,187.3004497,271.4571028,0.998415434
STT.40.50,STT,Sagwon,MAT,permafrost,1580,1639.526316,14.578174,1629.682578,19.91466007,6.15524912,0.993192951,146.9065309,309.8303974,0.997682572
