Depth,Tundra,Thaw_Prob_All,Thaw_Prob_10,Thaw_Prob_5,Soil_Layer,Soil_Type,pH,EC,GWC,OC,Acidobacteria,Planctomycetes,Alphaproteobacteria,Gammaproteobacteria,Gemmatimonadetes,Nitrospirae,Verrucomicrobia,Actinobacteria,Bacteroidetes,Caldiserica,Firmicutes,Betaproteobacteria,Deltaproteobacteria,Armatimonadetes,Chlorobi,Chloroflexi,Bacteria Other,Archaea
0-10,MAT,100,100,100,AL,Organic,4.83,70.36666667,82.20652363,40.49129636,22.64741419,4.762942276,12.82376321,8.166458693,0.524887595,0.792283162,20.08107698,5.967212682,6.536996322,0,0.116861766,7.311453113,4.690316319,0.918388232,0.086490912,1.960900826,2.564356501,0.048197226
10-20,MAT,100,100,100,AL,Organic,5.17,25.06666667,66.52680886,22.14117982,26.93168538,4.838869412,10.73675732,4.713424578,1.912043364,1.004879144,15.44688072,6.528413256,5.478638067,0,0.024428731,8.340100753,5.367718422,0.730220981,0.141290497,4.801896198,2.96577997,0.036973214
20-30,MAT,100,100,100,AL,Mineral,5.26,15.13333333,27.27904276,4.400060156,18.23703792,2.229616865,5.663504136,1.395078601,2.261968427,1.050435425,17.08228521,10.31948819,5.613326202,0.015185427,0.405384885,15.11082061,5.236331465,0.365110491,0.608077327,8.640508118,5.618608092,0.147232621
30-40,MAT,98.38709677,100,100,AL,Mineral,5.36,16.6,34.70930038,6.52808783,14.77674121,1.962881534,4.875842626,1.180501911,2.868725282,1.191725923,12.12325285,10.69912387,7.669301008,0.065363361,0.726919801,16.55871809,8.114300052,0.530829719,0.821993781,10.20526736,5.398089277,0.230422353
40-50,MAT,62.99810247,90,90,Trans,Mineral,5.67,19.03333333,46.75136446,10.47134961,7.932735159,1.939773275,3.497269924,0.672780452,1.001577964,0.226460937,8.618720332,14.35088901,18.44897366,2.579541928,5.34659087,13.15190049,6.240550373,1.235301497,0.689286351,8.350664527,5.43044084,0.28654241
50-60,MAT,7.495256167,15,10,Trans,Mineral,5.71,34.23333333,49.48684057,10.33531047,3.970659114,1.457801018,2.190662943,1.160034596,0.701830834,0.118842474,4.014234687,19.92262034,17.54048897,4.544404169,7.705613988,13.70847941,6.492100277,0.958662626,0.608077327,8.93299265,5.614646675,0.357847895
60-70,MAT,0,0,0,Perm,Mineral,5.79,72.56666667,49.96918183,9.71079883,6.27884406,1.930529971,3.584421072,1.359425859,0.454242346,0.111579879,5.100322855,22.47707331,16.49005355,2.942011475,10.422485,10.09236701,5.852991859,0.441697863,0.62392299,9.269052758,2.195944831,0.373033322
70-80,MAT,0,0,0,Perm,Mineral,6.125,108.55,48.80663684,9.826838192,4.363499515,0.755640066,2.62839939,0.691267059,0.433775031,0.09012221,3.352348129,33.7750312,9.795590942,2.444193555,9.215243529,10.5749995,6.863152891,0.314932557,0.833878028,10.8483372,2.464990988,0.554598214
80-90,MAT,0,0,0,Perm,Mineral,6.12,107.6,51.84636297,16.57149716,2.068849407,0.36841167,1.029968111,0.188167251,0.049517698,0.040604512,0.991344307,32.89163547,8.077326836,8.817121237,8.336799574,10.78297384,4.508091192,0.155485571,0.113890705,4.431833938,16.85681463,0.291164062
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,Tundra,Thaw_Prob_All,Thaw_Prob_10,Thaw_Prob_5,Soil_Layer,Soil_Type,pH,EC,GWC,OC,Acidobacteria,Planctomycetes,Alphaproteobacteria,Gammaproteobacteria,Gemmatimonadetes,Nitrospirae,Verrucomicrobia,Actinobacteria,Bacteroidetes,Caldiserica,Firmicutes,Betaproteobacteria,Deltaproteobacteria,Armatimonadetes,Chlorobi,Chloroflexi,Bacteria Other,Archaea
0-10,WS,100,100,100,AL,Organic,5.183333333,54.83333333,78.5929413,35.70127217,22.35360918,4.562890777,10.12669928,6.17386654,0.227121173,2.199906247,14.31985792,6.465030602,4.093463004,0,0.21127551,8.03771268,8.402162934,0.380956154,1.031948819,6.733746642,4.175332264,0.50442028
10-20,WS,100,100,100,AL,Organic,5.476666667,34.36666667,77.8459796,37.16695617,12.10740719,2.20914955,4.723988352,0.753989476,0.37171285,2.506915972,20.2540588,6.471632961,8.070724478,0.008583068,0.502439572,4.177973208,14.61960504,0.265414859,3.026521679,12.78216835,5.724906083,1.422808512
20-30,WS,100,100,100,AL,Organic,5.356666667,21.86666667,77.13762285,35.00837178,17.07304191,1.848000476,4.326526299,0.386898277,0.666838328,0.810769769,13.1888737,6.902767047,10.86418286,0.142610969,1.167957428,3.779190683,14.23468748,0.400102997,3.045668522,13.13869577,6.888902095,1.134285394
30-40,WS,100,100,100,AL,Organic,5.15,21.36666667,78.71843402,36.7318268,10.70770694,1.896857937,3.199503502,2.584823816,0.416608896,0.12610507,13.2879091,7.273819663,15.57892791,0.561200573,2.538607298,5.674728149,13.15916309,0.581007652,3.319666449,10.26865002,8.198150019,0.626563934
40-50,WS,100,100,100,AL,Organic,5.07,25.8,78.04903602,33.62906269,3.758063132,1.713312338,3.192240907,0.587610012,0.136008609,0.053479113,14.98999742,13.65037865,18.17035408,4.506110484,3.968678405,1.741042249,10.79485808,0.544034438,2.475224645,9.563518001,9.255848038,0.899241389
50-60,WS,82.35294118,100,100,Trans,Organic,5.09,14.13333333,79.2482684,35.37821389,3.189599963,1.494774232,3.251662144,0.458203762,0.090452328,0.095734215,11.34615511,20.27584659,21.34278791,3.134140142,3.719769446,1.3363176,8.967324923,0.462825414,1.740382012,10.27921379,7.896422182,0.918388232
60-70,WS,35.29411765,50,80,Trans,Organic,5.02,46.4,84.17771997,35.92414481,3.421342788,1.499395884,3.095186219,0.394821109,0.03763345,0.080548788,8.243706301,22.21826081,24.35280369,3.114333063,4.181274388,1.387155769,7.613180951,0.617980866,1.598431279,9.418926324,7.88519817,0.839820152
70-80,WS,0,0,0,Perm,Organic,4.75,18.65,79.91807704,28.63148194,3.747499357,1.322122527,0.309980787,0.074276547,0.065363361,0.062392299,8.369481252,22.52064888,27.06538317,4.208013944,3.882187494,1.126032444,7.607899063,1.456810664,1.414225444,9.371719454,6.692812011,0.703151306
80-90,WS,0,0,0,Perm,Organic,5.18,16.3,84.58867644,31.37834019,1.709350922,0.354546715,0.248578842,0.050508052,0.00495177,0.020797433,2.16986551,28.5013964,36.10236299,5.147859845,11.96842752,0.289183354,4.195139343,0.301067602,0.322855389,6.934458377,1.317170757,0.361479193
