,site_tundra,Site,Tundra,Layer,Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher,Coverage
ITT_0_10,ITT,Imnavait,MAT,active,1630,1672.81982,11.61037072,1664.394835,20.14053283,6.313452049,0.995648666,229.8145803,322.0660675,0.998058906
ITT_10_20,ITT,Imnavait,MAT,active,1114,1139.2,8.565093475,1136.1088,16.65401546,5.145610128,0.963020872,27.04228146,201.538731,0.998732347
ITT_20_30,ITT,Imnavait,MAT,active,912,957.6875,13.02625805,951.8488753,15.18119943,5.054884816,0.982070744,55.77476281,158.07122,0.998296591
ITT_30_40,ITT,Imnavait,MAT,active,746,776.3061224,10.80304491,770.2057217,13.34223997,5.17348052,0.986338069,73.19609657,124.1109592,0.998910611
ITT_40_50,ITT,Imnavait,MAT,permafrost,736,760.9295775,8.700360406,762.2016294,13.5999414,4.731282864,0.975140787,40.22653557,122.1194153,0.998811575
ITT_50_60,ITT,Imnavait,MAT,permafrost,583,606,8.94536462,602.5872753,12.04131004,4.47616593,0.971859045,35.5353973,92.47578762,0.999069067
ITT_60_70,ITT,Imnavait,MAT,permafrost,1198,1221.817073,8.200571073,1218.130637,17.22967553,5.414951754,0.984156107,63.11579922,220.2605402,0.998752154
IWS_0_10,IWS,Imnavait,WS,active,1851,1911.705882,14.23965092,1899.610696,21.47803481,6.370335614,0.995181361,207.5274622,377.4962657,0.997444887
IWS_10_20,IWS,Imnavait,WS,active,1218,1232.564516,6.175404533,1230.371913,17.16353952,5.940763865,0.993404657,151.6221362,224.7718787,0.999148296
IWS_20_30,IWS,Imnavait,WS,active,1461,1539.461538,17.69284605,1521.67644,19.15805787,5.801369336,0.989564405,95.8258692,281.1753132,0.997306237
IWS_30_40,IWS,Imnavait,WS,active,1048,1080.181818,10.9949285,1068.243007,16.09863205,5.528602568,0.986604487,74.65186287,187.0900771,0.998811575
IWS_40_50,IWS,Imnavait,WS,active,900,950.2816901,14.34519022,941.5026959,15.07737891,5.158845582,0.98160325,54.35742826,155.5610819,0.998316398
IWS_50_60,IWS,Imnavait,WS,permafrost,905,934.0923077,9.869897161,930.9366193,14.93676443,5.244724131,0.984485102,64.45417684,156.6059574,0.998771961
IWS_60_70,IWS,Imnavait,WS,permafrost,968,1000.635135,10.4200645,997.7678721,15.53600004,5.429717024,0.987892647,82.59443416,169.8945215,0.998613504
IWS_70_80,IWS,Imnavait,WS,permafrost,958,977.25,7.125725325,979.4269137,15.42983007,5.357215246,0.98494371,66.41742457,167.7701364,0.998890804
IWS_80_90,IWS,Imnavait,WS,permafrost,636,650.5588235,6.074622728,657.2103615,12.68330665,4.509003824,0.969267554,32.53889996,102.5638577,0.999108681
IWS_90_100,IWS,Imnavait,WS,permafrost,1362,1406.791304,11.8971704,1401.63228,18.38304636,5.823361319,0.992305728,129.9668043,257.8471917,0.997979678
STT_0_10,STT,Sagwon,MAT,active,1432,1480.345679,13.53102641,1465.457458,18.82888149,5.96656787,0.987221521,78.25657279,274.2931545,0.99823717
STT_10_20,STT,Sagwon,MAT,active,1574,1622.192661,12.66436632,1613.928353,19.76549613,6.29456145,0.993612205,156.5485343,308.3698311,0.997959871
STT_20_30,STT,Sagwon,MAT,active,1623,1689.507353,15.19308559,1684.538259,20.24726682,6.300930298,0.994277887,174.7606114,320.3461882,0.997326044
STT_30_40,STT,Sagwon,MAT,active,1425,1463.882979,11.2225336,1458.355604,18.78179185,6.198261018,0.994662715,187.3611925,272.6379533,0.998296591
STT_40_50,STT,Sagwon,MAT,permafrost,1572,1617.284483,11.96791024,1611.006277,19.77569026,6.148922832,0.993079719,144.5028065,307.8833446,0.997959871
STT_50_60,STT,Sagwon,MAT,permafrost,1401,1464.776596,15.99541973,1447.796164,18.6995418,6.020702538,0.993348964,150.3525154,266.9808154,0.997821221
STT_60_70,STT,Sagwon,MAT,permafrost,1279,1320.578947,12.31114696,1312.947352,17.67923082,6.044503728,0.99365102,157.5056161,238.6567739,0.998415434
STT_70_80,STT,Sagwon,MAT,permafrost,1042,1084.692308,12.99327402,1072.397399,16.15824195,5.374145568,0.986912697,76.40993731,185.788201,0.998514469
STT_80_90,STT,Sagwon,MAT,permafrost,538,571.1754386,11.14985689,572.4146871,11.76710673,3.50989273,0.888725254,8.986765035,84.06912648,0.998771961
SWS_0_10,SWS,Sagwon,WS,active,1925,1958.75,10.1215935,1948.458626,21.83372334,6.676855169,0.997095761,344.3242668,396.5372791,0.998395627
SWS_10_20,SWS,Sagwon,WS,active,1226,1254.714286,9.447527014,1248.157195,17.46058799,5.341664003,0.973070897,37.13454578,226.5821286,0.998672926
SWS_20_30,SWS,Sagwon,WS,active,1254,1289.571429,10.45621664,1287.560477,17.7071971,4.810159107,0.917720364,12.15367551,232.9435582,0.998336205
SWS_30_40,SWS,Sagwon,WS,active,1407,1442.011364,10.56626397,1434.334157,18.70919236,5.54578568,0.966209901,29.59446799,268.3925047,0.998435241
SWS_40_50,SWS,Sagwon,WS,permafrost,1023,1061.733333,11.29255731,1056.927227,15.86611984,4.797916888,0.96690157,30.21291323,181.6785513,0.998336205
SWS_50_60,SWS,Sagwon,WS,permafrost,1081,1129.51,12.95601418,1123.521131,16.31719261,4.937887869,0.971285026,34.82503566,194.2852216,0.998039099
SWS_60_70,SWS,Sagwon,WS,permafrost,925,971.7746479,13.60885791,962.5066991,15.27804908,4.851563688,0.970314662,33.68666395,160.7999331,0.99837582
TTT_0_10,TTT,Toolik,MAT,active,1203,1222.448276,7.619087745,1219.179276,16.57330471,6.091245029,0.993785139,160.9046364,221.3864564,0.99904926
TTT_10_20,TTT,Toolik,MAT,active,1496,1518.061224,8.609121898,1508.664791,18.79940411,6.413737885,0.996439764,280.8802213,289.5344557,0.999069067
TTT_20_30,TTT,Toolik,MAT,active,1279,1321,12.10417209,1311.464985,17.86092194,5.811453826,0.992065638,126.0340857,238.6567739,0.998316398
TTT_30_40,TTT,Toolik,MAT,active,1033,1057.308824,8.622155248,1054.599444,15.89084724,5.677351552,0.992751368,137.9570695,183.8390644,0.998851189
TTT_40_50,TTT,Toolik,MAT,permafrost,628,648.027027,8.532209597,644.8749767,12.21875322,4.805124664,0.978455765,46.41612973,101.0285082,0.999227524
TTT_50_60,TTT,Toolik,MAT,permafrost,679,694.2826087,6.745576264,692.6138321,12.93695775,4.778311196,0.979163309,47.99226443,110.8912701,0.999247331
TTT_60_70,TTT,Toolik,MAT,permafrost,522,534.1956522,5.778436354,536.7793247,11.30766992,4.584700532,0.977008011,43.49341007,81.11649079,0.999326559
