Layer,Chloracidobacteria,Acidobacteriales,Solibacterales,Actinomycetales,Gaiellales,Solirubrobacterales,Saprospirales,Bacteroidales,WCHB1-03,Clostridiales,Nitrospirales,Rhizobiales,Rhodospirillales,Burkholderiales,Desulfuromonadales,Myxococcales,Syntrophobacterales,Xanthomonadales,Pedosphaerales,Chthoniobacterales,Opitutales
AL,0.9,21.1,6.4,2.4,0.3,1.8,0.4,0.6,0.0,0.1,0.6,7.0,2.4,5.6,1.9,3.0,0.9,3.3,6.5,3.4,1.1
AL,0.3,7.3,3.0,1.9,1.2,0.2,0.0,6.1,0.0,0.5,0.7,1.8,0.3,1.7,4.6,1.6,10.8,0.4,10.4,2.3,1.9
AL,0.4,4.9,2.6,1.9,1.9,0.1,0.0,12.1,0.1,0.7,0.2,0.6,0.1,0.5,4.6,1.1,11.2,0.0,11.6,2.7,0.7
AL,0.1,2.9,2.5,2.2,1.6,0.0,0.0,15.9,0.7,1.4,0.1,0.2,0.0,0.4,2.5,0.8,11.8,0.0,13.3,2.7,1.1
AL,0.3,3.5,2.7,3.7,3.0,0.0,0.0,15.0,1.7,0.9,0.1,0.9,0.1,0.9,1.4,0.8,10.2,0.0,25.0,0.9,2.2
PF,0.3,3.0,2.0,4.1,3.8,0.0,0.0,14.0,1.8,1.0,0.1,0.7,0.1,0.5,1.5,0.6,11.2,0.0,21.1,1.1,1.1
PF,0.5,2.7,1.3,2.9,4.2,0.0,0.0,17.1,3.4,2.5,0.2,0.4,0.0,0.9,1.2,0.6,9.4,0.0,17.9,0.7,0.8
PF,0.6,3.1,0.9,2.5,5.3,0.0,0.0,22.1,2.7,3.1,0.1,0.2,0.0,1.1,0.6,0.4,7.1,0.0,14.0,0.3,0.6
PF,0.1,0.5,1.6,10.6,3.4,0.0,0.0,46.5,3.7,17.3,0.0,0.3,0.0,0.2,0.4,0.2,1.5,0.0,2.9,0.1,0.2
PF,0.3,3.1,1.6,6.0,5.0,0.2,0.1,18.4,2.6,11.5,0.1,1.5,0.3,1.2,1.3,0.9,5.3,0.3,9.5,1.1,0.9
