,site_tundra,Site,Tundra,Increment,Abundance
ITT_0_10,ITT,Imnavait,MAT,0-10,0
ITT_10_20,ITT,Imnavait,MAT,10-20,0.015845663
ITT_20_30,ITT,Imnavait,MAT,20-30,0.200051498
ITT_30_40,ITT,Imnavait,MAT,30-40,0.233723533
ITT_40_50,ITT,Imnavait,MAT,40-50,0.148553093
ITT_50_60,ITT,Imnavait,MAT,50-60,0.194109375
ITT_60_70,ITT,Imnavait,MAT,60-70,0.251549904
IWS_0_10,IWS,Imnavait,WS,0-10,0.366430962
IWS_10_20,IWS,Imnavait,WS,10-20,1.572682077
IWS_20_30,IWS,Imnavait,WS,20-30,1.091370056
IWS_30_40,IWS,Imnavait,WS,30-40,0.919048468
IWS_40_50,IWS,Imnavait,WS,40-50,0.574405292
IWS_50_60,IWS,Imnavait,WS,50-60,0.774456791
IWS_60_70,IWS,Imnavait,WS,60-70,0.820013073
IWS_70_80,IWS,Imnavait,WS,70-80,0.853685107
IWS_80_90,IWS,Imnavait,WS,80-90,0.275318399
IWS_90_100,IWS,Imnavait,WS,90-100,0.602135203
STT_0_10,STT,Sagwon,MAT,0-10,0.138649553
STT_10_20,STT,Sagwon,MAT,10-20,0.053479113
STT_20_30,STT,Sagwon,MAT,20-30,0.21787787
STT_30_40,STT,Sagwon,MAT,30-40,0.402083705
STT_40_50,STT,Sagwon,MAT,40-50,0.431794323
STT_50_60,STT,Sagwon,MAT,50-60,0.518945471
STT_60_70,STT,Sagwon,MAT,60-70,0.402083705
STT_70_80,STT,Sagwon,MAT,70-80,0.477350605
STT_80_90,STT,Sagwon,MAT,80-90,0.154495217
SWS_0_10,SWS,Sagwon,WS,0-10,0.087151148
SWS_10_20,SWS,Sagwon,WS,10-20,0.055459821
SWS_20_30,SWS,Sagwon,WS,20-30,0.093093272
SWS_30_40,SWS,Sagwon,WS,30-40,0.021787787
SWS_40_50,SWS,Sagwon,WS,40-50,0.839820152
SWS_50_60,SWS,Sagwon,WS,50-60,1.404321905
SWS_60_70,SWS,Sagwon,WS,60-70,1.132964922
TTT_0_10,TTT,Toolik,MAT,0-10,0.005942124
TTT_10_20,TTT,Toolik,MAT,10-20,0.041594866
TTT_20_30,TTT,Toolik,MAT,20-30,0.023768495
TTT_30_40,TTT,Toolik,MAT,30-40,0.055459821
TTT_40_50,TTT,Toolik,MAT,40-50,0.279279815
TTT_50_60,TTT,Toolik,MAT,50-60,0.360488839
TTT_60_70,TTT,Toolik,MAT,60-70,0.465466358
TTT_70_80,TTT,Toolik,MAT,70-80,0.631845822
TTT_80_90,TTT,Toolik,MAT,80-90,0.427832907
TWS_0_10,TWS,Toolik,WS,0-10,1.059678729
TWS_10_20,TWS,Toolik,WS,10-20,2.582843108
TWS_20_30,TWS,Toolik,WS,20-30,2.200566482
TWS_30_40,TWS,Toolik,WS,30-40,0.938855547
TWS_40_50,TWS,Toolik,WS,40-50,1.283498722
TWS_50_60,TWS,Toolik,WS,50-60,0.574405292
TWS_60_70,TWS,Toolik,WS,60-70,0.566482461
TWS_70_80,TWS,Toolik,WS,70-80,0.552617505
TWS_80_90,TWS,Toolik,WS,80-90,0.447639987
