ASV,ITT,IWS,STT,SWS,TTT,TWS
75ea2daf1a41ca52cecdd1e27b663173,12347,28281,2012,16467,12122,43911
b4c1e218247b4ad7d670d7b305c43076,6320,6607,10620,3184,10637,728
f34cdcd73e535507d29c29b19d01f658,12859,1566,7052,1150,8348,834
f69f5292d08dd7ac727db58db850e379,3838,2863,4615,3926,12385,4517
2d51eee954d47bb2f71665bd2691bb94,3534,159,16264,10002,3735,828
eaa27c84cd7a9799ad63ba69f6cda15a,3560,6122,754,2031,5624,6657
c9e7f28ae51f4a4e93c58fe156c6363f,1612,6227,152,3699,3139,10475
5d39c1639f2c00b4a4ecb3bf512bf420,5234,922,3293,597,6688,3732
2a1551c1613e0475d74430f6fc96df72,0,44,3206,15398,0,3257
7e57cd9f614b5d768e6ecb077703d276,5645,8709,54,192,1818,1533
471c0dc1b7460f183aa185fe8fc3263c,6289,3351,1024,21,2819,1430
55c50ecec9b058ac30a6cb6261d97720,1174,522,0,0,8128,4419
028ad074167c45e783654ceff9d29b1f,3042,9516,0,33,790,1630
e0fb63b785073b3a922c5a1cb12a5942,0,16,15415,0,2,0
629d138fbe969ad81e93c623502cada4,0,1509,0,816,0,13127
6d48c7ec35c529bbc2f8e6a73cca2917,1105,3262,35,281,3121,6269
b3ce64dab538f5b0c311e54e93ebfbd6,1646,34,0,2687,495,9814
3d33675d4f884ef53c0dd9ba3505fc64,0,0,1338,14316,0,0
0b680b7505a64c1c123412afa321ce46,596,0,0,0,12105,336
a0dcb26e50f90bf5a8fb82015d5773af,38,456,716,2070,8264,1133
01c5e1b0b66f91e3e737d86c5d03b5a4,3396,977,3189,2044,2059,461
4794d233489eb457715e6e33227d5c97,32,8315,55,64,12,2208
7f8c3a4041c6c58fef426e20f3c26a80,3757,325,177,60,4301,527
8f0fb68673a8b3c26f3fd210e29b7916,1322,417,829,1229,4198,1946
11a326b7907bd4c634a8f1d754a69996,99,396,274,3085,3531,3157
a9cdace376f468b22ea7bac7de7e029c,719,56,6774,770,727,1470
9214c8ae1d39f7b6cd90d07cde2582f6,8592,1,0,0,513,0
2a0a6367f794e66b396ec215ba393fc7,190,7037,0,37,128,2129
67e661bb11f6e55603958bb95fdeebd1,1954,3773,136,38,609,2835
cbaaf7bdc857a6581e9480d5780f5ca6,5013,0,95,14,3157,0
e8629389a8226b2e6a31d688865f4588,2956,217,113,111,4240,662
6472eb8b1e09f892aca2f23182962903,2814,908,805,1287,2935,209
674d3fca8b60d684ea44b52ad3fd4c73,377,0,6187,267,2322,8
6592738390b236d9028cfc8dab2e7dd5,0,4663,96,146,0,3080
0bfc1db312d70c87844fd780ac80cf93,6194,10,15,78,165,245
c77123d85d69a44286a9ea97986e83f5,5020,193,222,111,972,229
3b97e258e9c87893ea69d7020013260a,5327,94,33,0,1886,0
21d750a7e947264dfe453a26c1ae829c,937,591,0,0,0,6599
1d6d89e5ae84cb6c7ff966f311159bf7,0,0,511,8935,19,130
cf323d35d80216d199463c57acb17dee,1132,1215,1070,1319,937,2659
3828d792c5a6438acf25783a43ae8d98,1133,4030,228,150,1385,1052
76601b6d7476b7f4d0c4a0708505a15b,1262,4998,0,0,1120,194
eb6556a76f5c1a57c391fcbd13dd1bc6,2035,4536,0,0,321,379
ddea10d91e0d352781eb52a8b546af99,2753,1093,0,116,3336,404
aaea04ba5a9914fabc075ea0993a5661,0,4219,0,49,0,3616
e2a35867731fb073463f823bb3f063d2,2524,451,1975,123,1944,641
f188a70a84d8fc0c23c92f6ca6b7ebbc,871,4304,136,164,372,1782
599be869b75618ce47a11a2e6a650c97,102,38,1342,3620,3063,202
276a23ba9607f61d5909eb6cd78ef2b2,719,3011,85,56,501,3551
ed32c53f9d13cb65f68732cc1302755a,0,746,0,1598,0,5024
87f80e1b75c17bba760e92b1f6969094,1472,261,2378,1618,1817,9
f8b8173289056f3442317b4669562a60,1264,337,3650,711,1098,277
ceb744c064664e839f2bc06c2a5caac8,1406,95,0,128,4824,54
ae3938b2dcb171f848bb3e67363216e5,751,336,3014,131,2470,96
962086dbd3d07813021248ccce3d384a,0,3167,0,0,477,3549
0c0c33018af18b5debbd3f488532e134,0,21,0,3271,0,3464
f43964d1eb03e850cd3238f8e4bca9d7,2043,345,450,302,2140,843
638bea17d459a05ae7083c0d704fcf37,842,7,3365,295,2092,114
50dd1960954ec4ada7730e01c11b8aaf,0,3726,0,114,0,2349
556d2892f2a8b8847a3247fcb0841b53,0,6623,0,0,96,0
80c8ce7e33216db7ee92a9e5440ef07d,1591,951,3,0,1806,1802
c0c9a95b84971b697b78aa5611217b5f,429,2323,122,69,3226,37
6a5199f36565fddcec40c197ffa97dfe,2611,13,1215,241,1627,26
9d908fd1ece484a46d79aff0ec86596c,0,3569,68,26,0,1941
df5e86acd9c690a8cecde8ebf6b8d790,660,2794,67,112,775,1925
157a7c6518a3b3e70daf62add4531002,2421,261,0,396,2504,12
cff4c62680aa93f88908d730450371a2,338,2048,0,460,1061,1750
ab52dbacef166ea6bd9ac77895a25a3b,2051,59,22,29,2581,103
24833f67b5a7c6a793e2df5adb6189d7,279,3834,0,64,64,1388
1bf28b748e78c1e80fc6df716c119bf6,546,1441,1509,143,814,926
b24eadbd3cebbeb1207bd8d59f7dd575,1058,929,66,927,1052,1135
d7268d8f892cc65c679ac5016c1537e9,1680,1153,0,31,887,1355
ffa5ecef6f08edb5e512abe6f7b4c507,120,4247,0,0,39,943
a9fb6d7ceb06f2903fd533ba5d73871d,0,0,55,5396,0,0
4431b21d2f7af75ab2225ff7e76adf90,130,3261,0,0,218,1213
c9a2743971d12764732ddc336e25cac8,706,2702,0,52,318,958
7f99202b399e42619c16752d780694ba,84,1974,0,0,654,2427
8bd4280b30462ac9d211c0f60419991e,0,977,32,0,0,3662
c91713f3861c3e1566db945ceec9b855,0,2156,0,112,0,2271
96d66659c88d4a5cada662905c0de09f,229,48,188,3211,677,603
097d4ba5912d85d174b0b771ca4597a8,0,2849,111,0,0,1679
003d0470f23082c7bf6de11e71a56898,775,183,1648,548,1447,199
d2e63a52e089bcc7cfa1cba552dd7a4a,2438,75,0,0,1128,0
77e3a94a02aa78e6c89eb44f9fd0c37c,1326,402,385,327,2087,0
ca0e422ee54be6c4e596222d81cfc582,321,1148,3,18,190,4400
cd0ef86deffe10bac475674f01137888,2152,284,56,81,909,595
a235fc54b0eee76ca8bdb42143d79192,0,4682,0,0,0,0
b0739a7403f8d272bd84c838e0b14ddd,1985,28,0,621,1461,0
9d53d07a2555d51af3ba0ba60ca60252,2829,0,43,26,289,0
276f66ffcb14a11b0231f05a00d7ba21,1296,0,2521,31,86,0
2f1a273583013bd8c359dddcb6af4706,0,1277,0,785,312,1950
58572d8282727048ae73cfc4b6eb4a12,776,0,0,26,2905,86
92e19c109e3e238807d3812975db182a,0,523,0,0,0,3528
1ae50f4f9bbc8870aa2c71ed305bd0a4,1651,318,187,72,359,1271
086ab03b23027be6f3455d09f72bc4a5,1638,78,0,0,1488,254
793fbd33f01a34f22aeadc3548669a6d,0,2174,0,0,0,1534
bdfb970b8e1ecedffb9c0d90755ffa0d,0,0,4368,87,0,0
fce68e73fd8a18127ab7ccd8f194e0c9,396,1636,64,0,118,1376
47409f0d9eeac6c021f1dc626da110b4,0,3190,0,0,0,697
9007b13113737fce6a9e6700f4d9b248,0,3520,0,0,0,364
01d7106d1683d6e84f2725b6900a0a6d,0,3066,0,0,0,542
653334c36340a20181971e05d9b4e110,1539,22,28,78,1210,64
845be08d6ae6d3073a24d790fab9962a,264,16,596,0,2682,0
a954602ac80a9b16349a331642575316,857,264,0,28,1066,1489
315ef3901b1c279cf94dd25c33948ae0,52,645,109,757,70,1749
2c8621d494edfa8619fc4366fee56302,0,0,32,4484,45,0
c40ff908c42c11019e0582521aa7d0b5,0,2232,0,5,0,1053
825e219671d91b78e74128cb5be328dc,0,0,3719,0,0,0
fae2f6dbdc7aa12677443244e22ca373,0,1200,0,86,0,1755
a9916c8247643826a73ca5c3a7e62a7d,174,26,345,7,2443,0
df48f7eecfb4b65d4e6cf5a100f70525,191,0,797,121,877,1079
bffa970a06171a18bef2c0edd9f32910,534,56,192,969,1069,203
e73f16c77443b519dc9953b589da0819,366,286,1037,165,366,888
e3620a87443a142150a1b20a237c48a2,649,334,712,260,781,103
bf965b6a74af6b2f2c605c85387c1a09,523,240,195,494,709,681
9549b63f91256b6757fef7384cf2ee9e,0,0,2137,986,0,105
b196a4ed37195dcefbe81f4e904e58ca,0,0,54,3274,0,0
155d4cfe651e0dd41fc9f68d210efd13,290,1912,0,0,54,455
1d501b3fbc0168f8bc381ee9c5c14186,0,1751,0,0,0,1385
3d0fdaba5562129fdce740dd2c09f772,1046,10,241,87,1073,68
cb80be4ac2def4c41b4338fe839038be,950,505,0,400,838,69
67868dd1fe8840502e6e4e55b6879c44,1586,0,179,95,424,0
3d2e351bbc23de6571497ccf43c804c6,1225,62,181,166,699,132
