Phylum,Depth,Site_Tundra,Value
Acidobacteria,0-10,ITT,20.57559372
Planctomycetes,0-10,ITT,6.663101392
Alphaproteobacteria,0-10,ITT,12.14966229
Gammaproteobacteria,0-10,ITT,9.071642205
Gemmatimonadetes,0-10,ITT,0.287202646
Nitrospirae,0-10,ITT,0
Verrucomicrobia,0-10,ITT,21.52831422
Actinobacteria,0-10,ITT,4.167409432
Bacteroidetes,0-10,ITT,8.017905599
Caldiserica,0-10,ITT,0
Firmicutes,0-10,ITT,0.001980708
Betaproteobacteria,0-10,ITT,2.935409115
Deltaproteobacteria,0-10,ITT,7.726741537
Armatimonadetes,0-10,ITT,1.707370214
Chlorobi,0-10,ITT,0.019807079
Chloroflexi,0-10,ITT,2.071820469
Bacteria_Other,0-10,ITT,3.076039376
Archaea,0-10,ITT,0
Acidobacteria,10-20,ITT,38.2613346
Planctomycetes,10-20,ITT,6.41947432
Alphaproteobacteria,10-20,ITT,11.80501911
Gammaproteobacteria,10-20,ITT,5.542020718
Gemmatimonadetes,10-20,ITT,3.198843267
Nitrospirae,10-20,ITT,0.219858577
Verrucomicrobia,10-20,ITT,13.85901321
Actinobacteria,10-20,ITT,2.741299741
Bacteroidetes,10-20,ITT,2.343177452
Caldiserica,10-20,ITT,0
Firmicutes,10-20,ITT,0.055459821
Betaproteobacteria,10-20,ITT,5.314239309
Deltaproteobacteria,10-20,ITT,1.897518173
Armatimonadetes,10-20,ITT,0.514984055
Chlorobi,10-20,ITT,0.106958227
Chloroflexi,10-20,ITT,4.351615267
Bacteria_Other,10-20,ITT,3.353338483
Archaea,10-20,ITT,0.015845663
Acidobacteria,20-30,ITT,10.72949472
Planctomycetes,20-30,ITT,1.113157843
Alphaproteobacteria,20-30,ITT,1.776694991
Gammaproteobacteria,20-30,ITT,1.154752709
Gemmatimonadetes,20-30,ITT,1.232000317
Nitrospirae,20-30,ITT,0.241646364
Verrucomicrobia,20-30,ITT,18.78701448
Actinobacteria,20-30,ITT,7.271178719
Bacteroidetes,20-30,ITT,11.52375859
Caldiserica,20-30,ITT,0.045556282
Firmicutes,20-30,ITT,0.988373245
Betaproteobacteria,20-30,ITT,22.73258463
Deltaproteobacteria,20-30,ITT,7.96046507
Armatimonadetes,20-30,ITT,0.653633609
Chlorobi,20-30,ITT,0.829916612
Chloroflexi,20-30,ITT,8.576465229
Bacteria_Other,20-30,ITT,4.183255095
Archaea,20-30,ITT,0.200051498
Acidobacteria,30-40,ITT,8.04563551
Planctomycetes,30-40,ITT,1.445916771
Alphaproteobacteria,30-40,ITT,4.488284113
Gammaproteobacteria,30-40,ITT,0.921029176
Gemmatimonadetes,30-40,ITT,1.475627389
Nitrospirae,30-40,ITT,0.136668845
Verrucomicrobia,30-40,ITT,9.024105215
Actinobacteria,30-40,ITT,12.11400955
Bacteroidetes,30-40,ITT,14.28684612
Caldiserica,30-40,ITT,0.196090083
Firmicutes,30-40,ITT,1.883653218
Betaproteobacteria,30-40,ITT,17.6639531
Deltaproteobacteria,30-40,ITT,7.75249074
Armatimonadetes,30-40,ITT,1.027987403
Chlorobi,30-40,ITT,0.798225286
Chloroflexi,30-40,ITT,12.151643
Bacteria_Other,30-40,ITT,6.354110959
Archaea,30-40,ITT,0.233723533
Acidobacteria,40-50,ITT,1.461762434
Planctomycetes,40-50,ITT,2.149068077
Alphaproteobacteria,40-50,ITT,0.471408481
Gammaproteobacteria,40-50,ITT,0.301067602
Gemmatimonadetes,40-50,ITT,0.202032206
Nitrospirae,40-50,ITT,0.087151148
Verrucomicrobia,40-50,ITT,5.312258601
Actinobacteria,40-50,ITT,9.6717967
Bacteroidetes,40-50,ITT,23.22181948
Caldiserica,40-50,ITT,7.613841187
Firmicutes,40-50,ITT,10.70770693
Betaproteobacteria,40-50,ITT,15.32671777
Deltaproteobacteria,40-50,ITT,5.413274704
Armatimonadetes,40-50,ITT,1.689543843
Chlorobi,40-50,ITT,0.16043734
Chloroflexi,40-50,ITT,7.13847129
