Phylum,Depth,Site_Tundra,Value
Acidobacteria,0-10,IWS,31.81214966
Planctomycetes,0-10,IWS,4.272386951
Alphaproteobacteria,0-10,IWS,10.71562977
Gammaproteobacteria,0-10,IWS,3.761364312
Gemmatimonadetes,0-10,IWS,0.239665657
Nitrospirae,0-10,IWS,0.588270248
Verrucomicrobia,0-10,IWS,12.14372017
Actinobacteria,0-10,IWS,5.235010993
Bacteroidetes,0-10,IWS,1.558817121
Caldiserica,0-10,IWS,0
Firmicutes,0-10,IWS,0.0752669
Betaproteobacteria,0-10,IWS,9.325172817
Deltaproteobacteria,0-10,IWS,6.772040327
Armatimonadetes,0-10,IWS,0.186186543
Chlorobi,0-10,IWS,1.206251114
Chloroflexi,0-10,IWS,8.768593895
Bacteria_Other,0-10,IWS,2.973042565
Archaea,0-10,IWS,0.366430962
Acidobacteria,10-20,IWS,13.41929606
Planctomycetes,10-20,IWS,1.820270565
Alphaproteobacteria,10-20,IWS,2.155010201
Gammaproteobacteria,10-20,IWS,0.580347416
Gemmatimonadetes,10-20,IWS,0.019807079
Nitrospirae,10-20,IWS,0.71899697
Verrucomicrobia,10-20,IWS,16.5884287
Actinobacteria,10-20,IWS,4.290213322
Bacteroidetes,10-20,IWS,7.601956939
Caldiserica,10-20,IWS,0.021787787
Firmicutes,10-20,IWS,0.566482461
Betaproteobacteria,10-20,IWS,2.450135678
Deltaproteobacteria,10-20,IWS,20.63501495
Armatimonadetes,10-20,IWS,0.34068176
Chlorobi,10-20,IWS,4.910174897
Chloroflexi,10-20,IWS,16.47750906
Bacteria_Other,10-20,IWS,5.831204072
Archaea,10-20,IWS,1.572682077
Acidobacteria,20-30,IWS,10.91964268
Planctomycetes,20-30,IWS,1.467704558
Alphaproteobacteria,20-30,IWS,0.804167409
Gammaproteobacteria,20-30,IWS,0.120823182
Gemmatimonadetes,20-30,IWS,0.192128667
Nitrospirae,20-30,IWS,0.247588488
Verrucomicrobia,20-30,IWS,16.50325826
Actinobacteria,20-30,IWS,4.47243845
Bacteroidetes,20-30,IWS,14.280904
Caldiserica,20-30,IWS,0.12280389
Firmicutes,20-30,IWS,0.717016262
Betaproteobacteria,20-30,IWS,1.095331471
Deltaproteobacteria,20-30,IWS,19.56543269
Armatimonadetes,20-30,IWS,0.477350605
Chlorobi,20-30,IWS,5.080515776
Chloroflexi,20-30,IWS,16.88157347
Bacteria_Other,20-30,IWS,5.959950086
Archaea,20-30,IWS,1.091370056
Acidobacteria,30-40,IWS,7.350407035
Planctomycetes,30-40,IWS,2.028244895
Alphaproteobacteria,30-40,IWS,0.289183354
Gammaproteobacteria,30-40,IWS,0.142610969
Gemmatimonadetes,30-40,IWS,0.101016103
Nitrospirae,30-40,IWS,0.148553093
Verrucomicrobia,30-40,IWS,18.69590192
Actinobacteria,30-40,IWS,4.030740587
Bacteroidetes,30-40,IWS,18.06207539
Caldiserica,30-40,IWS,0.659575732
Firmicutes,30-40,IWS,1.725196585
Betaproteobacteria,30-40,IWS,0.853685107
Deltaproteobacteria,30-40,IWS,17.15293046
Armatimonadetes,30-40,IWS,0.614019451
Chlorobi,30-40,IWS,5.940143007
Chloroflexi,30-40,IWS,14.77608097
Bacteria_Other,30-40,IWS,6.510586884
Archaea,30-40,IWS,0.919048468
Acidobacteria,40-50,IWS,7.633648266
Planctomycetes,40-50,IWS,1.527125795
Alphaproteobacteria,40-50,IWS,1.033929526
Gammaproteobacteria,40-50,IWS,0.099035395
Gemmatimonadetes,40-50,IWS,0.108938935
Nitrospirae,40-50,IWS,0.140630261
Verrucomicrobia,40-50,IWS,29.40360885
Actinobacteria,40-50,IWS,7.160259077
Bacteroidetes,40-50,IWS,16.83403648
Caldiserica,40-50,IWS,1.657852516
Firmicutes,40-50,IWS,1.000257492
Betaproteobacteria,40-50,IWS,1.497415176
Deltaproteobacteria,40-50,IWS,12.65474281
Armatimonadetes,40-50,IWS,0.437736447
Chlorobi,40-50,IWS,3.569235645
Chloroflexi,40-50,IWS,9.301404322
Bacteria_Other,40-50,IWS,5.365737715
Archaea,40-50,IWS,0.574405292
