Sample,Site,Tundra,NMDS1,NMDS2
ITT.0.10,Imnavait,MAT,-0.47880003,-0.406069129
ITT.10.20,Imnavait,MAT,-0.45836012,-0.114071388
ITT.20.30,Imnavait,MAT,0.0345803,-0.04301271
ITT.30.40,Imnavait,MAT,0.04895282,-0.00887142
ITT.40.50,Imnavait,MAT,0.18280182,0.073628561
ITT.50.60,Imnavait,MAT,0.22477975,0.089320932
ITT.60.70,Imnavait,MAT,0.05596957,0.025952768
IWS.0.10,Imnavait,WS,-0.15015467,-0.291128187
IWS.10.20,Imnavait,WS,0.13501025,-0.282787663
IWS.20.30,Imnavait,WS,0.19877327,-0.210419478
IWS.30.40,Imnavait,WS,0.2470465,-0.197296316
IWS.40.50,Imnavait,WS,0.2273575,-0.125148209
IWS.50.60,Imnavait,WS,0.23624245,-0.129582734
IWS.60.70,Imnavait,WS,0.25632862,-0.108336349
IWS.70.80,Imnavait,WS,0.27919417,-0.064971418
IWS.80.90,Imnavait,WS,0.33946555,0.0987688
IWS.90.100,Imnavait,WS,0.16315014,-0.118255146
STT.0.10,Sagwon,MAT,-0.4877195,0.297073596
STT.10.20,Sagwon,MAT,-0.42952099,0.247182777
STT.20.30,Sagwon,MAT,-0.41979099,0.261420551
STT.30.40,Sagwon,MAT,-0.34009607,0.214224165
STT.40.50,Sagwon,MAT,-0.23034131,0.177101488
STT.50.60,Sagwon,MAT,-0.10673324,0.204961343
STT.60.70,Sagwon,MAT,-0.11132178,0.181501229
STT.70.80,Sagwon,MAT,-0.02620144,0.201203265
STT.80.90,Sagwon,MAT,0.10651473,0.324940213
SWS.0.10,Sagwon,WS,-0.54849196,-0.267980929
SWS.10.20,Sagwon,WS,-0.51398951,0.190720392
SWS.20.30,Sagwon,WS,-0.4426295,0.142182484
SWS.30.40,Sagwon,WS,-0.22252349,0.270165384
SWS.40.50,Sagwon,WS,0.22102642,0.162994534
SWS.50.60,Sagwon,WS,0.23866057,0.179913781
SWS.60.70,Sagwon,WS,0.22640321,0.18012463
TTT.0.10,Toolik,MAT,-0.4569403,-0.500942783
TTT.10.20,Toolik,MAT,-0.48397086,-0.284425236
TTT.20.30,Toolik,MAT,-0.30611743,-0.042024818
TTT.30.40,Toolik,MAT,-0.24165739,-0.038554203
TTT.40.50,Toolik,MAT,0.12239348,0.037136211
TTT.50.60,Toolik,MAT,0.14145118,0.081505865
TTT.60.70,Toolik,MAT,0.19707996,0.119027
TTT.70.80,Toolik,MAT,0.08876771,0.059465652
TTT.80.90,Toolik,MAT,0.15450436,0.157755138
TWS.0.10,Toolik,WS,-0.17920183,-0.154438546
TWS.10.20,Toolik,WS,0.1750239,-0.227148151
TWS.20.30,Toolik,WS,0.30911185,-0.185201236
TWS.30.40,Toolik,WS,0.31145566,-0.144993481
TWS.40.50,Toolik,WS,0.31172863,-0.09761273
TWS.50.60,Toolik,WS,0.30199934,-0.007271855
TWS.60.70,Toolik,WS,0.35717032,0.011725458
TWS.70.80,Toolik,WS,0.36629494,0.020464051
TWS.80.90,Toolik,WS,0.37532343,0.040083845
