Phylum,Depth,Site_Tundra,Value
Acidobacteria,0-10,ITT,29.40162814
Planctomycetes,0-10,ITT,3.155267693
Alphaproteobacteria,0-10,ITT,11.83869115
Gammaproteobacteria,0-10,ITT,1.235961733
Gemmatimonadetes,0-10,ITT,1.275575891
Nitrospirae,0-10,ITT,2.376849486
Verrucomicrobia,0-10,ITT,19.62287321
Actinobacteria,0-10,ITT,9.806484838
Bacteroidetes,0-10,ITT,3.270148751
Caldiserica,0-10,ITT,0
Firmicutes,0-10,ITT,0.033672034
Betaproteobacteria,0-10,ITT,9.418266088
Deltaproteobacteria,0-10,ITT,3.448412463
Armatimonadetes,0-10,ITT,0.104977519
Chlorobi,0-10,ITT,0.190147959
Chloroflexi,0-10,ITT,3.697981659
Bacteria_Other,0-10,ITT,0.984411829
Archaea,0-10,ITT,0.138649553
Acidobacteria,10-20,ITT,24.73309961
Planctomycetes,10-20,ITT,2.652167885
Alphaproteobacteria,10-20,ITT,8.225879929
Gammaproteobacteria,10-20,ITT,0.998276784
Gemmatimonadetes,10-20,ITT,2.317428249
Nitrospirae,10-20,ITT,2.794778854
Verrucomicrobia,10-20,ITT,16.92514905
Actinobacteria,10-20,ITT,10.7235526
Bacteroidetes,10-20,ITT,3.179036188
Caldiserica,10-20,ITT,0
Firmicutes,10-20,ITT,0.017826371
Betaproteobacteria,10-20,ITT,15.47923228
Deltaproteobacteria,10-20,ITT,4.997326044
Armatimonadetes,10-20,ITT,0.112900351
Chlorobi,10-20,ITT,0.265414859
Chloroflexi,10-20,ITT,5.185493295
Bacteria_Other,10-20,ITT,1.338958544
Archaea,10-20,ITT,0.053479113
Acidobacteria,20-30,ITT,23.54269416
Planctomycetes,20-30,ITT,2.11737675
Alphaproteobacteria,20-30,ITT,6.433339275
Gammaproteobacteria,20-30,ITT,0.932913423
Gemmatimonadetes,20-30,ITT,2.99681106
Nitrospirae,20-30,ITT,2.810624517
Verrucomicrobia,20-30,ITT,15.70503298
Actinobacteria,20-30,ITT,16.06750253
Bacteroidetes,20-30,ITT,2.735357617
Caldiserica,20-30,ITT,0
Firmicutes,20-30,ITT,0.110919643
Betaproteobacteria,20-30,ITT,11.87038247
Deltaproteobacteria,20-30,ITT,4.91611702
Armatimonadetes,20-30,ITT,0.065363361
