Phylum,Depth,Site_Tundra,Value
Acidobacteria,0-10,SWS,20.34979302
Planctomycetes,0-10,SWS,6.247152732
Alphaproteobacteria,0-10,SWS,13.03503872
Gammaproteobacteria,0-10,SWS,8.410085765
Gemmatimonadetes,0-10,SWS,0.221839285
Nitrospirae,0-10,SWS,0
Verrucomicrobia,0-10,SWS,17.98680849
Actinobacteria,0-10,SWS,8.437815675
Bacteroidetes,0-10,SWS,7.077069345
Caldiserica,0-10,SWS,0
Firmicutes,0-10,SWS,0.360488839
Betaproteobacteria,0-10,SWS,4.308039693
Deltaproteobacteria,0-10,SWS,5.696515935
Armatimonadetes,0-10,SWS,0.610058035
Chlorobi,0-10,SWS,0.154495217
Chloroflexi,0-10,SWS,1.170598372
Bacteria_Other,0-10,SWS,5.847049736
Archaea,0-10,SWS,0.087151148
Acidobacteria,10-20,SWS,17.92540654
Planctomycetes,10-20,SWS,2.33525462
Alphaproteobacteria,10-20,SWS,10.62253649
Gammaproteobacteria,10-20,SWS,1.057698021
Gemmatimonadetes,10-20,SWS,1.027987403
Nitrospirae,10-20,SWS,4.722007646
Verrucomicrobia,10-20,SWS,34.09392517
Actinobacteria,10-20,SWS,8.483371957
Bacteroidetes,10-20,SWS,2.462019926
Caldiserica,10-20,SWS,0
Firmicutes,10-20,SWS,0.051498406
Betaproteobacteria,10-20,SWS,8.239744885
Deltaproteobacteria,10-20,SWS,2.729415493
Armatimonadetes,10-20,SWS,0.031691326
Chlorobi,10-20,SWS,0.241646364
Chloroflexi,10-20,SWS,4.583358092
Bacteria_Other,10-20,SWS,1.336977836
Archaea,10-20,SWS,0.055459821
Acidobacteria,20-30,SWS,36.81937925
Planctomycetes,20-30,SWS,1.814328441
Alphaproteobacteria,20-30,SWS,11.60694832
Gammaproteobacteria,20-30,SWS,0.853685107
Gemmatimonadetes,20-30,SWS,1.790559946
Nitrospirae,20-30,SWS,2.05201339
Verrucomicrobia,20-30,SWS,13.67480738
Actinobacteria,20-30,SWS,5.954007962
Bacteroidetes,20-30,SWS,2.925505576
Caldiserica,20-30,SWS,0
Firmicutes,20-30,SWS,0.152514509
Betaproteobacteria,20-30,SWS,9.840156872
Deltaproteobacteria,20-30,SWS,4.306058985
Armatimonadetes,20-30,SWS,0.0752669
Chlorobi,20-30,SWS,0.390199457
Chloroflexi,20-30,SWS,5.938162299
Bacteria_Other,20-30,SWS,1.713312338
Archaea,20-30,SWS,0.093093272
Acidobacteria,30-40,SWS,22.74050746
