Phylum,Depth,Site_Tundra,Value
Acidobacteria,0-10,TTT,17.9650207
Planctomycetes,0-10,TTT,4.470457742
Alphaproteobacteria,0-10,TTT,14.4829362
Gammaproteobacteria,0-10,TTT,14.19177214
Gemmatimonadetes,0-10,TTT,0.011884247
Nitrospirae,0-10,TTT,0
Verrucomicrobia,0-10,TTT,19.0920435
Actinobacteria,0-10,TTT,3.927743776
Bacteroidetes,0-10,TTT,8.322934617
Caldiserica,0-10,TTT,0
Firmicutes,0-10,TTT,0.314932557
Betaproteobacteria,0-10,TTT,9.580684137
Deltaproteobacteria,0-10,TTT,2.895794957
Armatimonadetes,0-10,TTT,0.942816963
Chlorobi,0-10,TTT,0.049517698
Chloroflexi,0-10,TTT,0.112900351
Bacteria_Other,0-10,TTT,3.632618298
Archaea,0-10,TTT,0.005942124
Acidobacteria,10-20,TTT,17.80062194
Planctomycetes,10-20,TTT,5.444966031
Alphaproteobacteria,10-20,TTT,12.17937291
Gammaproteobacteria,10-20,TTT,7.599976232
Gemmatimonadetes,10-20,TTT,0.219858577
Nitrospirae,10-20,TTT,0
Verrucomicrobia,10-20,TTT,15.55647989
Actinobacteria,10-20,TTT,6.120387426
Bacteroidetes,10-20,TTT,10.91370056
Caldiserica,10-20,TTT,0
Firmicutes,10-20,TTT,0
Betaproteobacteria,10-20,TTT,4.226830669
Deltaproteobacteria,10-20,TTT,9.20831105
Armatimonadetes,10-20,TTT,1.562778537
Chlorobi,10-20,TTT,0.051498406
Chloroflexi,10-20,TTT,4.868580031
Bacteria_Other,10-20,TTT,4.205042882
Archaea,10-20,TTT,0.041594866
Acidobacteria,20-30,TTT,20.43892487
Planctomycetes,20-30,TTT,3.458316002
Alphaproteobacteria,20-30,TTT,8.780478143
Gammaproteobacteria,20-30,TTT,2.097569671
Gemmatimonadetes,20-30,TTT,2.557093905
Nitrospirae,20-30,TTT,0.099035395
Verrucomicrobia,20-30,TTT,16.75480817
Actinobacteria,20-30,TTT,7.619783311
Bacteroidetes,20-30,TTT,2.5808624
Caldiserica,20-30,TTT,0
