Phylum,Depth,Site_Tundra,Value
Acidobacteria,0-10,TWS,14.89888486
Planctomycetes,0-10,TWS,3.169132648
Alphaproteobacteria,0-10,TWS,6.629429358
Gammaproteobacteria,0-10,TWS,6.350149543
Gemmatimonadetes,0-10,TWS,0.219858577
Nitrospirae,0-10,TWS,6.011448492
Verrucomicrobia,0-10,TWS,12.8290451
Actinobacteria,0-10,TWS,5.722265138
Bacteroidetes,0-10,TWS,3.644502545
Caldiserica,0-10,TWS,0
Firmicutes,0-10,TWS,0.198070791
Betaproteobacteria,0-10,TWS,10.47992553
Deltaproteobacteria,0-10,TWS,12.73793254
Armatimonadetes,0-10,TWS,0.346623883
Chlorobi,0-10,TWS,1.735100125
Chloroflexi,0-10,TWS,10.26204766
Bacteria_Other,0-10,TWS,3.70590449
Archaea,0-10,TWS,1.059678729
Acidobacteria,10-20,TWS,4.977518965
Planctomycetes,10-20,TWS,2.471923465
Alphaproteobacteria,10-20,TWS,1.394418365
Gammaproteobacteria,10-20,TWS,0.62392299
Gemmatimonadetes,10-20,TWS,0.067344069
Nitrospirae,10-20,TWS,2.0797433
Verrucomicrobia,10-20,TWS,10.07982253
Actinobacteria,10-20,TWS,6.641313605
Bacteroidetes,10-20,TWS,14.14819657
Caldiserica,10-20,TWS,0.003961416
Firmicutes,10-20,TWS,0.889337849
Betaproteobacteria,10-20,TWS,1.84403906
Deltaproteobacteria,10-20,TWS,20.49438469
Armatimonadetes,10-20,TWS,0.423871492
Chlorobi,10-20,TWS,3.927743776
Chloroflexi,10-20,TWS,17.28563789
Bacteria_Other,10-20,TWS,10.00653634
Archaea,10-20,TWS,2.640283637
Acidobacteria,20-30,TWS,3.480103789
Planctomycetes,20-30,TWS,2.261968428
Alphaproteobacteria,20-30,TWS,0.568463169
Gammaproteobacteria,20-30,TWS,0.186186543
Gemmatimonadetes,20-30,TWS,0.017826371
Nitrospirae,20-30,TWS,0.13270743
Verrucomicrobia,20-30,TWS,9.38855547
Actinobacteria,20-30,TWS,10.28185473
Bacteroidetes,20-30,TWS,15.38613901
Caldiserica,20-30,TWS,0.305029017
Firmicutes,20-30,TWS,2.634341514
Betaproteobacteria,20-30,TWS,0.402083705
Deltaproteobacteria,20-30,TWS,18.83257076
Armatimonadetes,20-30,TWS,0.647691485
Chlorobi,20-30,TWS,3.666290332
Chloroflexi,20-30,TWS,16.59635154
Bacteria_Other,20-30,TWS,12.99344386
Archaea,20-30,TWS,2.218392854
Acidobacteria,30-40,TWS,2.032206311
Planctomycetes,30-40,TWS,1.661813932
Alphaproteobacteria,30-40,TWS,0.077247608
Gammaproteobacteria,30-40,TWS,0.08517044
Gemmatimonadetes,30-40,TWS,0.229762117
Nitrospirae,30-40,TWS,0.091112564
Verrucomicrobia,30-40,TWS,11.03452374
Actinobacteria,30-40,TWS,9.497494405
Bacteroidetes,30-40,TWS,20.08041674
Caldiserica,30-40,TWS,0.994315368
Firmicutes,30-40,TWS,5.692554519
Betaproteobacteria,30-40,TWS,0.29314477
Deltaproteobacteria,30-40,TWS,16.16851863
Armatimonadetes,30-40,TWS,0.871511478
Chlorobi,30-40,TWS,3.806920593
Chloroflexi,30-40,TWS,13.87089746
Bacteria_Other,30-40,TWS,12.57353378
Archaea,30-40,TWS,0.938855547
Acidobacteria,40-50,TWS,2.026264187
Planctomycetes,40-50,TWS,2.196605067
Alphaproteobacteria,40-50,TWS,0.005942124
Gammaproteobacteria,40-50,TWS,0.061401945
Gemmatimonadetes,40-50,TWS,0.221839285
Nitrospirae,40-50,TWS,0.007922832
Verrucomicrobia,40-50,TWS,14.27298116
Actinobacteria,40-50,TWS,7.673262424
Bacteroidetes,40-50,TWS,19.46243587
Caldiserica,40-50,TWS,1.996553568
Firmicutes,40-50,TWS,6.871075722
Betaproteobacteria,40-50,TWS,1.069582269
Deltaproteobacteria,40-50,TWS,13.304415
Armatimonadetes,40-50,TWS,0.748707588
Chlorobi,40-50,TWS,3.587062016
Chloroflexi,40-50,TWS,13.43316101
Bacteria_Other,40-50,TWS,11.7772892
Archaea,40-50,TWS,1.283498722
Acidobacteria,50-60,TWS,1.772733575
Planctomycetes,50-60,TWS,0.976488997
Alphaproteobacteria,50-60,TWS,0.057440529
Gammaproteobacteria,50-60,TWS,0.0752669
Gemmatimonadetes,50-60,TWS,0
Nitrospirae,50-60,TWS,0.059421237
Verrucomicrobia,50-60,TWS,7.386059778
Actinobacteria,50-60,TWS,21.69271298
Bacteroidetes,50-60,TWS,34.82678709
Caldiserica,50-60,TWS,2.584823816
Firmicutes,50-60,TWS,4.5100719
Betaproteobacteria,50-60,TWS,2.422405768
Deltaproteobacteria,50-60,TWS,7.320696417
Armatimonadetes,50-60,TWS,0.629865114
Chlorobi,50-60,TWS,1.142868461
Chloroflexi,50-60,TWS,8.869609999
Bacteria_Other,50-60,TWS,5.098342147
Archaea,50-60,TWS,0.574405292
Acidobacteria,60-70,TWS,1.79650207
Planctomycetes,60-70,TWS,0.693247767
Alphaproteobacteria,60-70,TWS,0.334739636
Gammaproteobacteria,60-70,TWS,0.421890784
Gemmatimonadetes,60-70,TWS,0
Nitrospirae,60-70,TWS,0
Verrucomicrobia,60-70,TWS,3.05425159
Actinobacteria,60-70,TWS,24.1804821
Bacteroidetes,60-70,TWS,38.80206786
Caldiserica,60-70,TWS,1.562778537
Firmicutes,60-70,TWS,4.910174897
Betaproteobacteria,60-70,TWS,1.315190049
Deltaproteobacteria,60-70,TWS,5.767821419
Armatimonadetes,60-70,TWS,0.055459821
Chlorobi,60-70,TWS,0.736823341
Chloroflexi,60-70,TWS,9.826291917
Bacteria_Other,60-70,TWS,5.975795749
Archaea,60-70,TWS,0.566482461
Acidobacteria,70-80,TWS,1.13494563
Planctomycetes,70-80,TWS,0.310971141
Alphaproteobacteria,70-80,TWS,0.33077822
Gammaproteobacteria,70-80,TWS,0.04753699
Gemmatimonadetes,70-80,TWS,0
Nitrospirae,70-80,TWS,0.019807079
Verrucomicrobia,70-80,TWS,1.461762434
Actinobacteria,70-80,TWS,36.99962367
Bacteroidetes,70-80,TWS,28.84504922
Caldiserica,70-80,TWS,5.736130093
Firmicutes,70-80,TWS,4.533840395
Betaproteobacteria,70-80,TWS,0.356527423
Deltaproteobacteria,70-80,TWS,6.962188286
Armatimonadetes,70-80,TWS,0.390199457
Chlorobi,70-80,TWS,0.346623883
Chloroflexi,70-80,TWS,10.40267792
Bacteria_Other,70-80,TWS,1.568720661
Archaea,70-80,TWS,0.552617505
Acidobacteria,80-90,TWS,0.863588647
Planctomycetes,80-90,TWS,0.215897162
Alphaproteobacteria,80-90,TWS,0.192128667
Gammaproteobacteria,80-90,TWS,0.091112564
Gemmatimonadetes,80-90,TWS,0.001980708
Nitrospirae,80-90,TWS,0.029710619
Verrucomicrobia,80-90,TWS,1.059678729
Actinobacteria,80-90,TWS,40.92736744
Bacteroidetes,80-90,TWS,25.1807396
Caldiserica,80-90,TWS,6.631410066
Firmicutes,80-90,TWS,5.147859845
Betaproteobacteria,80-90,TWS,0.247588488
Deltaproteobacteria,80-90,TWS,6.342226712
Armatimonadetes,80-90,TWS,0.352566007
Chlorobi,80-90,TWS,0.097054687
Chloroflexi,80-90,TWS,11.18703825
Bacteria_Other,80-90,TWS,0.984411829
Archaea,80-90,TWS,0.447639987
